"","Year 0","Year 1","Year 2","Year 3","Year 4","Year 5","Year 6","Year 7","Year 8","Year 9","Year 10","Year 11","Year 12","Year 13","Year 14","Year 15","Year 16","Year 17","Year 18","Year 19","Year 20"
"Sample 62",960000,1204370.09768976,1091581.58115803,1070908.1377657,1022884.38504307,1011541.78449537,965786.946747345,963175.918297416,894651.075719732,861283.683861024,642142.528332929,465510.554571453,284240.862950339,152818.790644722,65266.4579798604,8758.87303386518,0,0,0,0,0
"Sample 63",960000,938657.109976406,876313.006596176,823588.60444052,792947.46708328,747761.241898489,684716.019753292,625321.22980409,569991.91430202,520109.521348552,470500.231314439,276456.847844472,155108.408258004,82159.208738433,16783.8414064917,411.159657248991,0,0,0,0,0
"Sample 64",960000,999353.069100661,956624.434221725,961204.367978881,944498.501387085,662591.598354188,534547.374839039,345551.015388403,210555.709041514,128017.390416313,51699.6170634924,12472.9330263145,425.404020985633,0,0,0,0,0,0,0,0
"Sample 65",960000,1173100.41357706,1125469.59762614,1166354.64111572,1165340.5172999,1168325.45489503,1199979.05747144,1266259.34284224,1273317.0065946,881343.002033728,600685.150420603,396473.604967241,229252.983519765,141267.785276583,61200.4486659128,10393.6351681534,0,0,0,0,0
"Sample 66",960000,1368475.37106379,1265382.01557493,1266139.63047423,1313363.28658448,1293938.11040328,1329334.45743619,1391347.02416758,1409247.00888101,1418510.07094598,1443528.86666975,1424508.8513935,1061024.70924977,756036.737240917,476540.239653824,310966.896196513,192405.188304193,77440.6662167933,21827.7186561062,2600.22143335127,311.149267064045
"Sample 67",960000,1185534.69055211,1152761.15346406,1194580.88013976,1198218.41826712,1195948.20792537,1258332.31970906,1271138.75645364,1307515.57289924,1286871.43250862,1311371.88964713,1339720.26245564,1343100.50295546,1339370.00602091,1357051.3862538,1317435.11731563,1351795.14740038,1344413.08741276,1351546.72528638,1349426.94366773,1376278.97545979
"Sample 68",960000,1284585.96595685,1256267.66175721,1266021.08454398,1262066.83184384,1257775.90399293,1244960.56906243,1205493.64646467,1199464.00741514,1185312.29984799,1211744.3085622,1212259.56330034,1187081.13307891,1224404.52946713,1239995.21859053,1174142.29580739,1189681.44450049,1188928.39122242,1216897.98046384,1248942.16378171,907929.628777456
"Sample 69",960000,1156898.20657973,1031005.10552727,963395.205428915,898191.691135309,838056.82984531,788987.743667935,725957.317991101,641805.482458323,587063.942073854,518649.487248475,463596.379398973,396525.179173868,326584.367519246,255260.124875166,186849.189121521,123562.420233584,58669.1439903789,17010.369900648,1333.12714090808,98.0856713923634
"Sample 70",960000,1067439.73665644,1030236.16412741,1041570.31106644,1032007.36731902,1021022.45514299,1036082.72270938,798783.20733081,597855.24861439,409460.268716277,253336.140287629,144940.318134642,58147.6233878991,10590.5899824936,0,0,0,0,0,0,0
"Sample 71",960000,1004544.04311727,980577.784963107,951003.800800521,936568.559244945,877824.447377378,837564.927486818,842858.676446594,847407.147156558,792262.608064067,755934.819436018,738497.927597139,706365.33863787,683448.281543443,659358.056397197,628973.304501919,433950.165337404,306218.217782391,215018.448781816,129034.881742113,55381.3822072727
"Sample 72",960000,1298149.11418461,1273814.63152492,1318300.49337041,1306284.8317364,1310553.03594,1306815.21803811,1333650.06403508,1356094.21386996,1380545.66456023,1420604.28183306,1446107.7269345,1488614.63205848,1047933.48791551,744033.587290385,599562.131577704,373471.601530771,249417.642242524,171308.171036242,92055.2475281044,32388.8090307922
"Sample 73",960000,1038202.83960974,1054540.8548621,1083799.2190418,1095430.42101342,1104033.99404356,1146158.48363279,1151749.87240365,1202534.79520297,1208068.06934228,1237230.66515432,1251340.85322099,1279347.67572122,1288908.91915534,1316568.76111866,1016766.00828342,760808.13098708,509283.419710456,339185.354101931,246958.229147606,178682.912420039
"Sample 74",960000,996148.786359885,1014238.52166852,1061891.03817803,1086945.05192195,1113833.98936414,1133485.24373167,1174161.76618103,1230840.76434322,1309935.37618657,1380973.94539937,1420181.58013065,1474450.48315394,1527185.19875328,1588676.80135605,1688454.10968863,1739180.07557704,1473707.77741857,1067215.47849016,809441.191193339,578017.655987563
"Sample 75",960000,954562.08873039,891830.867814059,835724.328952512,809858.109583061,783419.047257506,610916.279050272,461062.984633519,271492.538720092,146583.134537,59161.8618256406,10442.7727212817,0,0,0,0,0,0,0,0,0
"Sample 76",960000,1114541.29012861,1118850.25713905,1096190.74402437,1063030.71339643,1007553.72280275,973781.009324829,939415.343003446,900729.945221485,825093.480417412,790124.032261227,589740.623572769,402828.819465838,261122.07528493,161708.892644667,68767.7885175429,18399.0008742678,312.17379159864,100.359676741781,30.2779487273384,10.7307066392378
"Sample 77",960000,1004051.75876362,954486.464084179,920990.037172597,874583.18170303,801066.055394365,733978.62202228,684727.955256796,608143.497198054,533953.199755801,476697.940259579,405831.890404313,337457.948876701,283960.977251394,229703.932431384,169332.907250768,111301.233999799,51113.6346560716,17269.7583263478,4076.44132784998,958.066532932409
