"","Year 0","Year 1","Year 2","Year 3","Year 4","Year 5","Year 6","Year 7","Year 8","Year 9","Year 10","Year 11","Year 12","Year 13","Year 14","Year 15","Year 16","Year 17","Year 18","Year 19","Year 20"
"Sample 1",960000,984570.396336634,945354.971366507,946516.438272029,919930.209759997,893087.502422679,850490.830057545,831675.234592513,804852.333555217,760101.637026276,727022.610898669,687545.17315998,647497.518009375,599271.366513129,552781.971186216,483624.383881724,414893.232650972,357637.231924696,322675.761006977,273250.332358753,223328.054586158
"Sample 2",960000,994057.295542343,942953.819095406,931566.392347003,937989.309149817,916245.840145613,947417.795465745,942994.63834003,947004.744826161,953893.813305678,936391.41516044,953084.6224183,926400.138943966,932800.726321493,910689.066426679,913564.736757277,900970.554660427,895966.652448526,897732.437022613,902386.119941939,886556.476185767
"Sample 3",960000,995163.814654348,970574.512395599,957506.539728273,909343.928263195,894839.617858704,897633.969166538,905297.831883951,902012.675247372,898376.67870377,876843.288663447,878962.28594876,840663.262780112,811435.323298981,778949.969978599,748427.932027681,725065.427958454,708836.272897176,716976.127630941,682898.959544656,658537.081243454
"Sample 4",960000,943127.99829179,887687.482470619,876974.643116027,808794.595753854,736223.713658373,671927.659322242,603378.179055104,548058.263145724,464854.310634804,381081.184122778,307209.043696028,230978.266101708,147568.715445191,63081.4763377457,0,0,0,0,0,0
"Sample 5",960000,963051.979986014,959659.970693286,940271.992262645,919723.646030168,862957.054292876,837170.081118898,780722.998920364,752859.640208609,734728.904823711,687008.090571807,650058.132849408,603307.733059801,574694.633862296,545896.819389984,498351.705765247,447760.392261587,386335.954677208,347023.562084447,296373.363808109,239849.459534663
"Sample 6",960000,1214969.78432901,1174212.79754791,1166868.36965544,1201563.68149893,1196586.49732582,1172850.04556649,1195825.03375071,1165856.10346139,1190884.77734956,1205740.58347379,1230082.00305106,1238464.12191535,1222487.44158024,1217004.30505164,1222175.93486452,1204473.61653221,1193325.79030653,1197442.84429051,1199268.7542406,1203989.76522751
"Sample 7",960000,957865.002236461,958643.224774077,913385.00939942,884364.594967819,863553.879444402,825519.58910914,785561.285032186,724297.160794269,690049.173392483,657805.866736035,600587.46621358,540672.235194122,487915.242128046,422276.839210558,360223.219545597,291894.221125226,219209.275450503,152972.645863494,87748.053437157,19291.4510112703
"Sample 8",960000,1067632.69373512,1074279.80623292,1068967.06904255,1077593.99019938,1086637.98331955,1043743.56619705,1042709.7688758,1026668.50968564,1033787.08871777,1027380.39791092,1007261.62624515,985562.362738567,961762.404350319,974695.51754198,962553.210321644,958411.262526585,910024.688375641,871769.71343478,866051.083076574,862639.477455453
"Sample 9",960000,1204361.7007116,1033367.22972813,962965.881331093,865217.419119802,792722.552037707,689274.143322092,600400.404967293,503155.703194705,417226.450434271,332367.990105027,253119.880329821,158385.254873249,71603.674052072,0,0,0,0,0,0,0
"Sample 10",960000,1020375.99371949,996287.388777667,1001392.89985743,999229.595109156,1009271.94861315,1016161.92456217,1031113.60690342,1033704.36680324,1026523.72551186,1039866.59397722,1033963.49437859,1005411.72026886,1026037.05510949,1002845.03376997,995278.662114275,992033.65954994,1013046.24996131,1025273.48544152,1016491.89781293,1038800.83111607
"Sample 11",960000,1122080.69623731,1033249.00317973,1029074.23576925,996034.002222107,942932.52566477,860711.731247955,805508.673426561,746441.734303644,665180.012807324,603182.383295353,526627.493005516,460332.571766781,380814.098835434,299893.355996715,229057.230651698,143041.950635618,51905.1539120568,0,0,0
"Sample 12",960000,1015895.1200499,956606.394355214,851559.033701701,734089.595805207,598676.277885612,484080.580167209,378596.157305588,274645.773793433,176554.020282787,70382.9638654237,0,0,0,0,0,0,0,0,0,0
"Sample 13",960000,954529.952626876,909202.364534521,889379.157243731,860175.385262015,830570.612951164,794200.354735193,755266.662511348,715239.946028009,679331.2079233,635072.491715159,584555.112282448,548245.494277738,491267.141990617,416305.557205599,347769.567885524,272717.420619555,198573.312116541,126087.604703428,55307.1211111931,2265.62828421147
"Sample 14",960000,913086.03743802,832976.004317855,753443.211677682,657119.023533529,573399.821045091,480012.868623946,406519.653435578,316886.360211103,231973.084865217,154554.703059022,74956.6166200328,16609.8341509471,0,0,0,0,0,0,0,0
"Sample 15",960000,908447.871863372,801259.451741158,698326.829474764,593763.383546607,484583.06575496,377602.571113429,269879.429138508,174191.361510896,79695.3903114827,0,0,0,0,0,0,0,0,0,0,0
"Sample 16",960000,1066611.71102291,1014519.86662077,1004294.17164093,1013670.20424245,1004199.42208909,973652.804265473,960168.07197456,951275.582312791,946004.188479156,927502.241502958,892071.119589723,884093.709720354,840675.21427525,833804.83398576,791295.904163935,794274.533273183,756346.986821333,758203.970806896,712345.537528708,685917.453137346
