"","Year 0","Year 1","Year 2","Year 3","Year 4","Year 5","Year 6","Year 7","Year 8","Year 9","Year 10","Year 11","Year 12","Year 13","Year 14","Year 15","Year 16","Year 17","Year 18","Year 19","Year 20"
"Sample 1",960000,992329.683179066,930544.537410711,861332.21879607,815824.647217462,736173.66750652,666909.454694606,631402.890162966,566618.183785484,527080.4323925,464050.688735022,401798.042470316,344657.398178933,286144.334035083,227910.049499649,170954.543371546,110430.108485593,52028.1142945948,14073.4943174489,1831.27474885009,226.732286555428
"Sample 2",960000,969492.131512423,904445.079527139,844449.659970574,809392.856434869,754521.702371477,687501.581416618,629447.096614931,558219.316352816,487842.370745403,419550.484154803,362038.166333512,298265.483369601,233670.102963363,171949.69585362,121447.815977016,64540.6654275524,16572.2480790223,2808.92657102815,491.345785813228,79.3041384022916
"Sample 3",960000,1053487.58813426,1094478.52937043,1125096.04014375,1193746.22544733,1210739.84358138,1284007.13764655,1370961.70473634,1411588.47023825,1500762.47665852,1569733.93027316,1688913.69816508,1760436.48487211,1856463.49446267,1938335.80548637,2071134.80856408,2224598.11363549,2308576.19275587,2495468.35583194,2586111.88101917,2746274.89556563
"Sample 4",960000,1017298.46476197,1035680.48011529,1037704.0057208,1061132.33096707,1107663.60318042,1144972.41572952,1160064.29098774,1225672.03291703,1245400.43389756,1283052.61848067,1305664.16060837,1317042.92396644,1345400.20369725,1349003.95973843,1419868.69043736,1445783.2682075,1509854.01614445,1591665.80266292,1690971.13468069,1824525.03813191
"Sample 5",960000,1089416.60866375,1085075.45898285,1140506.71949668,1125794.97353624,1164335.30511478,1203226.04917577,1216898.24799637,1262786.20362886,1288003.27108188,1311670.68203304,1337278.22347694,1404050.3102694,1450171.22846666,1466261.80782817,1570524.55966043,1610052.9562223,1693323.69546602,1753625.62927221,1889273.99253635,1967012.64004878
"Sample 6",960000,1124503.26796623,1151979.98431664,1178887.23250512,1206938.9865856,1233354.27412199,1227170.48899123,1241650.95681135,1249218.34564422,1273096.76311987,1342641.10508801,1371130.85835352,1404620.20121549,1404590.20857805,1480743.37276483,1484625.56976507,1531621.3382725,1578571.96184466,1651514.0551024,1713936.75882218,1771025.38521461
"Sample 7",960000,968890.126415561,913470.247742597,910885.055662757,885977.096937253,877370.042659591,866855.451088021,888810.198119972,887716.19673473,836287.992170425,794543.941226129,787614.799332042,735612.963624275,700948.575090476,689068.537366404,650268.237261969,620006.157377721,629677.245531999,608949.205940713,586059.570818483,584749.536872312
"Sample 8",960000,994707.596902072,967874.818483619,923970.878338808,907198.600992954,888364.117011257,853429.5931565,818637.271251843,802576.57470441,780898.866882836,735776.540283186,702600.648531565,681936.841260471,635422.312058544,585385.929715086,546169.285820688,502637.378967502,468278.718463534,434236.204219578,389117.352611329,354106.531440321
"Sample 9",960000,1035895.50583563,998015.612475557,963774.393971759,955790.057441352,913457.928639195,892265.603365088,855934.115381045,841443.047001758,815890.48922115,776742.644274648,764146.325216701,735909.752449577,697666.448445472,661607.212241867,635255.941456446,608657.646289833,556559.713140291,531955.720170872,522233.884816262,496451.878781623
"Sample 10",960000,1258584.51948064,1241050.23360367,1274039.48229018,1340336.29265239,1365519.23505434,1402857.89127357,1393652.01388125,1400359.60071975,1494353.85246627,1496201.72053524,1519588.31133889,1619790.103868,1673442.56331666,1686046.45029121,1673779.21655295,1794387.5464261,1811491.44693455,1850331.87298073,1898208.65022872,1911631.95170244
"Sample 11",960000,1303818.16881,1146769.43777479,1088929.47934484,1001327.37622068,953517.986555944,856765.508490117,822166.904854856,715059.771861311,620848.668421846,531015.262480045,458680.459001273,385388.988844436,296987.848170287,238190.205053709,163715.370852355,87962.7740220727,22687.9349999903,1392.71153452212,81.4475638791769,4.61082665527342
"Sample 12",960000,1096165.71990879,1018385.15414765,973422.594075666,915192.123937846,877708.155522973,861465.056441623,839880.547447742,805851.316576462,751536.658122318,716772.269688418,681707.643449998,644244.542420982,604262.721063847,557544.208163946,506785.816708156,470353.222208187,425598.246747519,377182.118683817,343378.942000231,300526.47639856
"Sample 13",960000,1033317.5285145,1062805.50538827,1075586.19144179,1080773.66216772,1137629.3674307,1167055.12231337,1175472.41304612,1220950.47148859,1243695.61407123,1285087.70827962,1312978.8785554,1372885.22867009,1430366.85840148,1466894.05041392,1487851.92473494,1555250.91185819,1604482.300041,1662148.06961844,1738989.28104448,1796742.86148968
"Sample 14",960000,981826.960447344,964086.789161683,1007434.02433848,986203.729353429,998816.376064457,986655.637487334,950209.988575978,950106.785675839,970007.076274934,988358.124792452,1002911.67440573,1006748.92557196,987067.274367323,998348.142393972,978377.8752308,975823.038304953,984764.930153198,975896.229438632,981138.342225834,981175.768506164
"Sample 15",960000,1136571.87787683,1173995.2288188,1177194.91453701,1202952.90345175,1220022.62615068,1256603.93304928,1225788.81115905,1284069.64151054,1292406.9378307,1249760.37493977,1255153.77970094,1273775.19682908,1354597.83028168,1365453.40635688,1432869.93810761,1412602.23813142,1441455.78855406,1493725.67627376,1501322.322035,1570333.3979356
"Sample 16",960000,1048050.68870727,953245.786219428,909906.212248594,836284.755210467,740166.979404471,679405.736331864,608804.121259619,542647.60462458,489314.30953005,427848.575262868,352749.204847274,290966.38485802,226816.226691125,161220.38402207,97540.7762029411,35026.3861687583,3524.70773692219,361.038605221156,35.148653318403,3.63625471557511
"Sample 17",960000,969402.394171997,899483.828719363,829880.206370182,759484.637919459,721878.281557549,660774.570282887,618287.5492825,563233.712712442,503232.657988038,462792.795197058,421555.7073542,368049.624407964,306284.816873558,253437.305494771,198663.289296731,148567.763438108,92324.1852930433,45655.3371327286,11691.5906387007,1672.87153784296
