,Years 1,Years 2,Years 3,Years 4,Years 5,Years 6,Years 7,Years 8,Years 9,Years 10,Years 11,Years 12,Years 13,Years 14,Years 15,Years 16,Years 17,Years 18,Years 19,Years 20,Years 21,Years 22,Years 23,Years 24,Years 25,Years 26,Years 27,Years 28,Years 29,Years 30,Years 31
Sample No. 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.724053522969131,0.826216574864462,0.687544980332255,0.767765553762671,0.693422459998634,0.726666633949149,0.720970783034805,0.880717866256833,0.87049395506084,0.912097526197322,0.886612303498201,0.870898713052273,0.983122052829713,0.989303546696901,0.955086301174015,0.967926352396607,0.949080990273505,0.957534555140883
Sample No. 2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample No. 3,1,1,1,1,1,0.752864583629649,0.757813551546074,0.756968510594685,0.717707123597153,0.787988898753189,0.825688458945602,0.702162517317571,0.86644852180779,0.863213740296662,0.900469702532515,0.917543741580099,0.85209596765507,0.959454525671899,0.99360553778708,0.976585412472487,0.994217503722757,0.97422734213993,0.987285637781024,0.928807543013245,0.980476165693253,1,1,1,1,1,1
Sample No. 4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.829977205269039,0.729723721243441,0.736409545958973,0.814874497604556,0.791024527083151,0.708251183539629,0.704024725932628,0.872681306604296,0.846590531958267,0.869307675888762,0.892638638328761,0.897075161779299,0.994476946312934,0.99127102907747
Sample No. 5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.771778965358622,0.779514702969696,0.69199704842316,0.712113746094052,0.757827866334934,0.830106052268762,0.688188136370387,0.89786440968886,0.913656445349567,0.877091732708737,0.897024222793989,0.863014391875826,0.923609186057001,0.937176871672273,0.9722298213467,0.967020433936268
Sample No. 6,1,1,1,1,1,0.75412110474566,0.710958027841058,0.826079712041188,0.761292624742724,0.808664033668116,0.824993238471448,0.789356741007883,0.878159158094786,0.848352241582237,0.901378476252779,0.83639154882729,0.919653144187294,0.9835604458116,0.9651860402897,0.963999258875847,0.934688624944538,0.950712948162109,0.948893909081817,0.980265064854175,0.984689592737705,1,1,1,1,1,1
Sample No. 7,1,1,1,1,1,1,1,0.686254557840526,0.708039688634686,0.737451632461976,0.715388168663718,0.793564421475399,0.689677065239754,0.720502212610096,0.910335851483978,0.843108301245607,0.865746306618676,0.905342703202739,0.882851139831357,0.968146444782615,0.945660349689424,0.964298013653606,0.943342169821262,0.972457414083183,0.960570215377957,0.975510320402682,0.931443444937468,1,1,1,1
Sample No. 8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample No. 9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.731148332382087,0.769895157976076,0.751269261132926,0.772854000529274,0.729299038952682,0.700805909921415,0.687995751750656,0.903332389138639,0.883884713116102
Sample No. 10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.823784598243888,0.702008047363721,0.83352975377487,0.816164424201939,0.716475884326734,0.810624355603009,0.776447339392267,0.874705895887688,0.862825532191433,0.857232965457253,0.848267495302483,0.861007733942009,0.961093009002507
Sample No. 11,1,1,1,1,1,1,1,1,0.789542603878304,0.725557614142541,0.792019731261767,0.803113804491237,0.776935767453629,0.799491815689485,0.833544059378561,0.913351830084808,0.878655396772549,0.884721362811513,0.84627662074659,0.842651247487403,0.969641895908862,0.977349119242281,0.959157662112266,0.926457064058632,0.977704262174666,0.923828788455576,0.959206561315805,0.993956755660474,1,1,1
Sample No. 12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.697565496504773,0.721045744350646,0.769430842345115,0.787736438483931
Sample No. 13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.784044694191776,0.734316856101155,0.829564211891498,0.73791563233966,0.824888777187094,0.737387866016012,0.788990878548007,0.899169511647895
Sample No. 14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.762596813357901,0.786173072412144,0.811206059438642,0.7780525813126
Sample No. 15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.714881730616558,0.76720526582934,0.788998918783851,0.751846469718963,0.752795015265234,0.703155284353066,0.794780254179146,0.916332767549902,0.904773045423441,0.896772183402441,0.907438546678983,0.914191141788848
Sample No. 16,1,1,1,1,1,1,1,1,1,1,1,0.787542922132649,0.786413928250782,0.721455798613839,0.800992399490438,0.736206732959487,0.696101056238636,0.806300088869408,0.904167736423202,0.841455597383901,0.905963828829117,0.85867848001048,0.872390488038771,0.972315164990723,0.978431175146252,0.954909476246685,0.963670199662447,0.974354368001223,0.944622796121985,0.992725720517337,0.989522661771625
Sample No. 17,1,1,1,1,1,1,1,1,1,0.740850285348948,0.713583697880618,0.704037616286892,0.822962950869929,0.692197254161816,0.728606664274354,0.796150135715958,0.914148489843123,0.875508659998886,0.905797623364255,0.882569553082809,0.839278505301103,0.95370498161763,0.961752735972405,0.969768997039646,0.98232749523595,0.972870333362371,0.948948791660368,0.98694098148495,0.994533066228032,1,1
Sample No. 18,1,1,1,1,1,1,1,1,1,1,1,0.808777887468692,0.752609238204546,0.821454737825785,0.767071590713691,0.720709581872448,0.822318880680483,0.824031449832488,0.840113232095726,0.919328401469626,0.853881682197563,0.891160157367587,0.88615486891102,0.929104917049408,0.991627459935844,0.97687153255567,0.941025121118873,0.959434007871896,0.922162947617471,0.946037281993777,0.984556981548667
Sample No. 19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.794061345608439,0.790343612701632,0.75134540199209,0.76020653810259,0.788319682983216,0.690380948340986,0.821129360901192,0.877776708580554,0.917978884627111,0.889893617628142,0.854626065570861,0.845888236992992,0.953471219483763,0.972619537971914,0.983632684983313,0.968475935459137
Sample No. 20,1,1,1,1,1,0.708926100110635,0.760566907098051,0.774177108112723,0.70663962505199,0.773571417400613,0.693937478111126,0.717986299890559,0.880920158142224,0.88292395270057,0.845560575257987,0.868954990627244,0.853101075166836,0.920674281772226,0.98553034119308,0.999532206207514,0.929972265772522,0.988011757805944,0.982803312074393,0.943158502560109,0.964283638577908,1,1,1,1,1,1
Sample No. 21,1,1,1,1,1,1,1,1,0.756970515580848,0.768275112078059,0.769003131428268,0.787700632600114,0.809622519033961,0.761658193032723,0.743123023201712,0.867204173216596,0.912191335158423,0.876831308273599,0.863346821913496,0.904997564640827,0.935958359222859,0.942514959126711,0.978161945492029,0.945474532842636,0.947227838411927,0.934664926882833,0.975671150125563,0.984471102803946,1,1,1
Sample No. 22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample No. 23,1,1,1,1,1,1,1,0.693365785725415,0.737172386633698,0.803704827641137,0.758963713470381,0.770067642386071,0.721187088663224,0.765965653875843,0.897687669565901,0.902723833137192,0.914268961917609,0.842063049955293,0.890279698356055,0.932000059876591,0.941533565632999,0.924366020150483,0.937119744773954,0.967238280624151,0.990852072257549,0.986514698117971,0.92860446434468,1,1,1,1
Sample No. 24,1,1,1,1,1,1,1,1,1,1,1,0.74332710295124,0.819055326784961,0.733151792095974,0.830813516014256,0.803081211041659,0.805168880139478,0.709648283316288,0.851510020851158,0.845410781347193,0.884367117778398,0.896593011348508,0.909594153901562,0.959253172054887,0.957894357386976,0.943816832210869,0.972251106146723,0.920341426320374,0.944918540809304,0.92831189615652,0.959578392654657
Sample No. 25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.785527443817351,0.752027648188174,0.778050316627137,0.830927654904313,0.72744857582869,0.763509752020705,0.821645442607347,0.842431337294169,0.853163222360425,0.878772567729466,0.873510405512527,0.876422259775922,0.929925977382809,0.924609885327518,0.982008115481585
