,Years 1,Years 2,Years 3,Years 4,Years 5,Years 6,Years 7,Years 8,Years 9,Years 10,Years 11,Years 12,Years 13,Years 14,Years 15,Years 16,Years 17,Years 18,Years 19,Years 20,Years 21,Years 22,Years 23,Years 24,Years 25,Years 26,Years 27,Years 28,Years 29,Years 30,Years 31
Sample No. 26,1,1,1,1,1,1,1,1,1,1,0.727435595194344,0.811044723658357,0.814903892554808,0.809131539730821,0.804139205942862,0.812215208973736,0.701423912950791,0.849301949704066,0.901475279489532,0.892128666670993,0.916932745492086,0.913464010288939,0.952570739127696,0.937028599642217,0.992195445317775,0.998608546331525,0.966647502165288,0.936046715937555,0.988420162908733,0.970961678344756,1
Sample No. 27,1,1,1,1,1,1,1,1,0.82740848404495,0.75941133095324,0.831632455020677,0.766686948949005,0.815109439835884,0.784514002293814,0.794117450401187,0.917187298605219,0.918394567943178,0.883609038311057,0.853554266577586,0.884969473574311,0.970073012411594,0.987074947115034,0.952945188079029,0.928483375590295,0.974134228490293,0.922591499909759,0.949979277532548,0.969006863217801,1,1,1
Sample No. 28,1,1,1,1,0.770627531061415,0.798491292844061,0.826873420471326,0.72990758209629,0.746236948879901,0.74612696455,0.770849696792662,0.841277835230343,0.912542930641212,0.844311974436976,0.884601132255979,0.914491630578414,0.931964618377388,0.995600035488606,0.993827355410904,0.967600000463426,0.933298513069749,0.999459878765047,0.939029736388475,0.937564595416188,1,1,1,1,1,1,1
Sample No. 29,1,0.686907884933986,0.767604457914364,0.705691454560962,0.699048266910482,0.713194296731614,0.734800160095561,0.747338088510092,0.882460443996824,0.892535452236421,0.842537556914613,0.867432735710405,0.875922494987957,0.932403236422688,0.965605945624411,0.99682966478169,0.956001341510564,0.978733034133911,0.979865966364741,0.989605132285506,0.95645399056375,1,1,1,1,1,1,1,1,1,1
Sample No. 30,1,1,1,1,1,1,1,1,1,0.710243351956829,0.74770170706464,0.807556641068309,0.778016446124762,0.731589068357367,0.751772211749572,0.75018854247313,0.862989289140329,0.853726489441469,0.871688789096661,0.850825712818652,0.860350776772015,0.936495867557824,0.996625062786043,0.985483850575984,0.972350194174796,0.921261377632618,0.935731077101082,0.932983704339713,0.988854053132236,1,1
Sample No. 31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.779836669961456,0.810125462176744,0.814385170688853,0.687709052664228,0.747108602967579,0.768994320930447,0.806722736627795,0.890521378151141,0.905383816010319,0.900379818171263,0.912169268043712,0.916379898167215,0.967540594991297,0.92233161456883,0.955958044994622,0.9372781242989,0.972875237893313
Sample No. 32,1,1,1,1,1,1,1,1,1,1,1,0.742206070061307,0.723934548035264,0.733707537910901,0.744038879744709,0.7464382849182,0.822733906390145,0.699326488051098,0.876511083695106,0.847511918526143,0.849993116745725,0.910644841744565,0.915292944852263,0.937293772120029,0.991875657960772,0.996463547032326,0.979258558191359,0.968542104903609,0.953158950433135,0.955678059142083,0.998988530673087
Sample No. 33,1,1,1,1,0.709405730666127,0.822606220109388,0.776098246082198,0.715443309677299,0.831661122282036,0.742080571387429,0.811962138362229,0.855306674739346,0.913296409376897,0.854917801259086,0.897585910975933,0.873063022330403,0.981733106318861,0.957473288662732,0.92097550470382,0.977144408412278,0.935771385058761,0.987332506887615,0.952493283282965,0.971116619557142,1,1,1,1,1,1,1
Sample No. 34,1,1,1,1,1,0.743249310857151,0.833877880826127,0.725036822400521,0.745629736293573,0.811392364140134,0.706060810039286,0.748586745515,0.88040896330215,0.886693043661304,0.902936615323648,0.874124626521021,0.848961982843466,0.932006596978754,0.940798814650625,0.977574640978128,0.942431065347046,0.929121160395443,0.939773995690048,0.952014447525144,0.938529496267438,1,1,1,1,1,1
Sample No. 35,1,1,0.72642639718391,0.704233686150052,0.794732718520332,0.734274888889864,0.777288537590299,0.790832568683196,0.707121837443206,0.892492414728738,0.863497505253181,0.841134416977875,0.855389832165092,0.852661774782464,0.944942874964327,0.929309720136225,0.92110776046291,0.931437175180763,0.990581210404635,0.962336661480367,0.924283040426672,0.987558181416243,1,1,1,1,1,1,1,1,1
Sample No. 36,1,1,1,1,1,1,1,1,1,1,1,1,1,0.688168197010178,0.832062319981866,0.777201740852557,0.700059647149406,0.743750154612586,0.799500507653225,0.769096416387707,0.909297824405134,0.895835069235414,0.91799976429157,0.839189953410998,0.845356002016924,0.997180491406471,0.934102619644254,0.981298419833183,0.930998084582388,0.972115019746125,0.953106829021126
Sample No. 37,1,1,1,1,1,1,1,1,1,1,1,1,1,0.713179393323604,0.807905906137545,0.824039810711052,0.715649196774699,0.786592796283308,0.831325935003348,0.791561433697585,0.893986221357249,0.884432466657832,0.882452941047959,0.873247930835932,0.878664792522788,0.985342053808272,0.95752300452441,0.973118733447045,0.997592435646802,0.94654307724908,0.935794633757323
Sample No. 38,1,0.731138893206604,0.693126014819369,0.787441228168551,0.772432779580355,0.790007988132071,0.819003290812485,0.825294420368969,0.868860644453205,0.903523077435792,0.86371248952765,0.874697683402337,0.865696165629663,0.928275754787028,0.958252768348902,0.98524034416303,0.984954352341592,0.973956993930042,0.942062111850828,0.920632544588298,0.971666046325117,1,1,1,1,1,1,1,1,1,1
Sample No. 39,1,0.825688609924633,0.694831155614462,0.717398526998237,0.741819839960896,0.741968868383206,0.732840289072134,0.734391080473084,0.848533882902935,0.884330014725216,0.883059276753105,0.859142397980206,0.918286824615672,0.970808194354177,0.967965152021497,0.923342789839953,0.996040456611663,0.959360520914197,0.98547220652923,0.976948546096683,0.988160439170897,1,1,1,1,1,1,1,1,1,1
Sample No. 40,1,1,1,1,1,0.810729512166232,0.831343100372702,0.805664822192863,0.772231180804316,0.747281225748826,0.811714430387597,0.762485523651354,0.891817773243412,0.905178859260865,0.913123608424328,0.904617756795138,0.840024500684813,0.94817380849272,0.996824255362153,0.950432307142764,0.921297632772476,0.960266186315566,0.926143408864737,0.992681573349983,0.969406197629869,1,1,1,1,1,1
Sample No. 41,1,1,1,1,1,1,1,1,1,0.750021920505911,0.754623687047511,0.767905607122462,0.823078842101619,0.779038688856177,0.768933410687838,0.800270291791763,0.89487240932975,0.887023103551008,0.845155075616203,0.898558127709664,0.887507530604489,0.923040248416364,0.9818927151151,0.93042241550982,0.987774252817035,0.979798898659647,0.976713856644928,0.924302343688905,0.993543534427881,1,1
Sample No. 42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.763772356837522,0.82659390904149,0.723291228654794,0.736326581043191,0.749928032258991,0.792334857677575,0.694787588542327
Sample No. 43,1,1,1,1,1,0.762069667364936,0.725629039377905,0.778103939782828,0.778556368443184,0.708457321395632,0.759115305427927,0.812669327740092,0.866367173554376,0.86513140863739,0.867211571668275,0.903246795674786,0.848241013333201,0.984760539773852,0.96179033042863,0.951699975840747,0.961019689776003,0.979028603304178,0.924052913971245,0.978114346954972,0.993590259123594,1,1,1,1,1,1
Sample No. 44,1,1,1,1,1,1,1,1,1,1,1,1,1,0.721526434343774,0.697839083291125,0.787166027970612,0.800027823798824,0.700674386440311,0.797960661620833,0.742850383605342,0.886098948071711,0.864345734813251,0.893892262759619,0.891631587967277,0.907182900520973,0.962395768109709,0.921881479769945,0.941622157841921,0.941551209948957,0.954508234374225,0.966395382825285
Sample No. 45,1,1,1,1,1,1,1,0.760681972188409,0.797386918916833,0.785270795006305,0.773443301687017,0.787008689624723,0.761950224720873,0.775032548875548,0.847632389779203,0.884044561874121,0.860520879905671,0.882374818184413,0.878572376916185,0.968085829596967,0.923567145951092,0.935597317088395,0.97821497078985,0.95850579880178,0.979353182204068,0.957262897733599,0.971737733427435,1,1,1,1
Sample No. 46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.787528252090793,0.795934585890733,0.714008961142041,0.730191334454808
Sample No. 47,1,1,1,0.759105770314578,0.735078643799294,0.807895522251725,0.773365646811668,0.763473984484095,0.797451680399477,0.702959092218895,0.853559783356264,0.838699135698378,0.913923086457886,0.907702660609968,0.903654596621171,0.98871611950919,0.968100127596408,0.973200886175036,0.943164440076798,0.944703879188746,0.999763227533549,0.974283966850489,0.959436720982194,1,1,1,1,1,1,1,1
Sample No. 48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.800201353990939
Sample No. 49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.714980561287608,0.766373472895008,0.802381654888392,0.785659354542382,0.786969684019219,0.793036549085751,0.6959941479275,0.840117788548581,0.862602249533869,0.888199184008874,0.902764708063565
Sample No. 50,1,1,1,0.795045188012533,0.786714845804032,0.704125018966384,0.787007742749061,0.835963496916462,0.751858923445921,0.763879914955702,0.871021854078397,0.860654561281204,0.84281598639302,0.874043293405324,0.889552792865783,0.994549509976059,0.964974162895232,0.931350504681468,0.992708625085652,0.936664147302508,0.981148735564202,0.929424993284047,0.993458661548793,1,1,1,1,1,1,1,1
Sample No. 51,1,1,1,1,0.832660775679629,0.807917523175944,0.755645442755427,0.712943655859213,0.729996325915214,0.693042129535694,0.763604739763774,0.850277293276042,0.859137761262246,0.902824727586471,0.878121230700985,0.893573032909073,0.936678927876055,0.966331941895187,0.982001725677401,0.972936404254288,0.941632866561413,0.995742051098496,0.936632142383605,0.985471011735499,1,1,1,1,1,1,1
Sample No. 52,1,1,1,1,1,1,1,1,0.831922955335118,0.801926497429609,0.744937728847377,0.715038575931918,0.799175684283488,0.800056740282103,0.695750203671865,0.848234698949382,0.840100543227047,0.886772517614998,0.842465483446605,0.8924257546179,0.975786762926728,0.946440612394363,0.942777481283993,0.991685654576868,0.957035756893456,0.948625144232065,0.952900364082307,0.988186257816851,1,1,1
Sample No. 53,1,1,1,1,1,1,1,1,1,1,0.75288725783024,0.79443856704887,0.817831012084149,0.79945216181362,0.827797586344182,0.719603031828534,0.743077737315558,0.840503500221297,0.908147107446566,0.851643234111369,0.857809396504424,0.904839642988518,0.935767524074763,0.943452880885452,0.924139616433531,0.991855995468795,0.922163956221193,0.955506238602102,0.969864588752389,0.964122874774039,1
Sample No. 54,1,1,1,1,1,1,1,1,1,1,1,1,1,0.803617976770271,0.754283937009983,0.693145733945072,0.829130593234673,0.767519255414605,0.703386371293105,0.773394909816794,0.878177688029595,0.880713769783266,0.912778062200174,0.893941577139311,0.851506412676535,0.998836657535285,0.959843486305326,0.985864248387516,0.975108003243804,0.99878847764805,0.947862846329808
Sample No. 55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.769966957812663,0.706534828316886,0.751277243952733,0.761732362852432,0.798253902782686,0.7466671331916
Sample No. 56,1,1,1,1,1,1,1,0.816672885326203,0.69578730005445,0.749957043003757,0.785430009780917,0.72240033879783,0.753618010903243,0.702700575395953,0.878645941390656,0.878445733483881,0.869518862278201,0.863023368111812,0.853003349741921,0.977926576454192,0.935816126316786,0.934889073073864,0.923516117036343,0.953339468557388,0.947798031065613,0.933801433853805,0.986807398293167,1,1,1,1
Sample No. 57,1,1,1,0.784684574093204,0.690075615829788,0.738154798177071,0.829611094425432,0.75738577119913,0.824057654316071,0.704675855954643,0.839814231515862,0.890757669759914,0.862845208250917,0.885164865007624,0.842413342284039,0.929487593192607,0.999598545730114,0.977035735361278,0.985604072567075,0.954254180919379,0.969772827010602,0.974506442658603,0.991299944445491,1,1,1,1,1,1,1,1
Sample No. 58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample No. 59,1,1,1,1,1,1,0.785914628826082,0.700761985256337,0.789591865615454,0.804142240610905,0.788632319764234,0.752035852569621,0.73635511754686,0.894093817649409,0.874134184991941,0.876129472055472,0.910624623171985,0.856472730820999,0.981470047868788,0.963526036813855,0.999709543883801,0.932214242797345,0.928987365756184,0.946909334454686,0.954403766412288,0.944452865924686,1,1,1,1,1
Sample No. 60,1,1,1,1,1,1,0.823341446639039,0.687522816764191,0.791846467264928,0.687949332770892,0.711835937308148,0.777995051770937,0.762606603735127,0.836311647790484,0.889026863648556,0.914941464897245,0.876972382624634,0.850168168328702,0.944514921847731,0.943939039595425,0.988355210460722,0.923974997010082,0.940694910380989,0.956922117937356,0.993597870673984,0.938553293272853,1,1,1,1,1
Sample No. 61,1,1,1,1,0.833467317956034,0.743327263429761,0.763632613957394,0.789510718001053,0.690198739491403,0.692445734773297,0.73370496187266,0.897944777413271,0.898268912021071,0.881191013911739,0.879808960893191,0.880922377362847,0.93499097507447,0.9504089974612,0.952134485822171,0.929414938483387,0.928670491371304,0.948722843583673,0.938442055881023,0.944132256302983,1,1,1,1,1,1,1
Sample No. 62,1,1,1,0.741081092612818,0.727211001574993,0.714394256555475,0.760699834373314,0.820439990576357,0.802684087715112,0.828124221916311,0.882571646586061,0.867424163694493,0.895552568336949,0.890431566310115,0.839470537256449,0.972220820542425,0.982009885981679,0.932417088225484,0.972815465945751,0.950659781750292,0.980020152106881,0.998181270770729,0.940504790749401,1,1,1,1,1,1,1,1
Sample No. 63,1,1,1,1,1,1,1,1,1,0.740907825088594,0.735953921628185,0.7996482775677,0.792465805182233,0.734252453887835,0.759412392591126,0.835835921660997,0.912390451448038,0.839943551918492,0.851890499782749,0.917984109877609,0.892076077185571,0.969774492271245,0.948232614416629,0.972084184344858,0.920354942660779,0.927372524924576,0.953463238086551,0.947222918756306,0.95817619137466,1,1
Sample No. 64,1,1,1,1,1,1,0.768834200002253,0.788666923298966,0.720554642916191,0.757502255729865,0.762259070890956,0.823047629849985,0.783650982718915,0.85777081007231,0.849137185158208,0.912030737161636,0.89017422654666,0.862101294635795,0.990554865542799,0.941520087141544,0.994664974045008,0.949749229531735,0.962858052551746,0.99231701336801,0.925703500043601,0.951285010464489,1,1,1,1,1
Sample No. 65,1,1,1,1,1,1,1,0.826997369610704,0.805565409538336,0.792909818237182,0.689663061140105,0.737478545321152,0.801098387398757,0.770176401246805,0.841104186741635,0.837958987091668,0.907224756660871,0.862050501551479,0.890941756389104,0.977804862484336,0.929685443229973,0.95344690348953,0.951712234523147,0.931199354100972,0.983192432262003,0.968230077493936,0.978323432710022,1,1,1,1
Sample No. 66,1,1,1,1,0.721803050000686,0.753391641438007,0.741822541483212,0.737971326873172,0.704116459646262,0.803339792300481,0.735506078811828,0.893633883832954,0.899535564119928,0.841459009178914,0.868581857654266,0.898189671861008,0.920112867690623,0.954750477038324,0.932375614400953,0.958438148144633,0.999650412071496,0.941513808984309,0.94753958825022,0.988295201268047,1,1,1,1,1,1,1
Sample No. 67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.74956078867102,0.826482835413422,0.716398860608693,0.796721377818845,0.738013965230435,0.800830991625786,0.823336990330368,0.851040354382247,0.887285536471754,0.864747397258878,0.919281145428307,0.911273979134858,0.993365500718355,0.927145421933383,0.997487127948552,0.9631494567357
Sample No. 68,1,1,1,1,1,1,1,0.719574530563783,0.809643973108847,0.756471222198103,0.777243295674212,0.793647244841792,0.820240204596426,0.745479354717769,0.893870100672357,0.919512313760817,0.840722844040953,0.89661579286959,0.860270964957774,0.959391442388296,0.970883279927075,0.968143653944135,0.932991391215473,0.956820098534226,0.9858863998577,0.985408901832998,0.99546703806147,1,1,1,1
Sample No. 69,1,0.696759727004916,0.709371944017708,0.699118106708862,0.753751196969766,0.699269808783662,0.721589852766134,0.744676165447105,0.840172060295939,0.876247510106303,0.902741434468888,0.868046825055964,0.89222444064077,0.93015498649329,0.988041466567665,0.984619526080787,0.993537420127541,0.967323382291943,0.962674419339746,0.943290328159928,0.976147599909455,1,1,1,1,1,1,1,1,1,1
Sample No. 70,1,1,0.801408634743653,0.730376755668782,0.729203419877682,0.802128149500582,0.788195368777029,0.687318677922245,0.807483090426773,0.90974357840512,0.890082111875527,0.902245285307057,0.902801868401468,0.893466193698347,0.923432887867093,0.987512941267341,0.987604037225246,0.935743920430541,0.999911863356829,0.996907122749835,0.932995329424739,0.952788844704628,1,1,1,1,1,1,1,1,1
Sample No. 71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.751924031240866
Sample No. 72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.688560485934373,0.780637328805402,0.751812329982873,0.739791427181568,0.737752429839689,0.729141189136077,0.746572563810274,0.866249215357937
Sample No. 73,1,1,1,1,1,1,1,1,0.816392594868317,0.798958992039785,0.7306218028781,0.699303384731989,0.705205321883783,0.704250796897337,0.736812403904274,0.904761696516536,0.898368338150904,0.85630426240433,0.851717030834407,0.882009296217002,0.955192695837468,0.966461071800441,0.922963457833976,0.981441874857992,0.942256007287651,0.92583834240213,0.993687903285027,0.931315714940429,1,1,1
Sample No. 74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.762083732827101,0.710545718112495,0.791233241291717,0.772772217811085,0.771402169439476,0.78082194200391,0.741711397342384,0.877642499203794,0.916020568406209,0.89877284859959,0.847814810477197,0.858999668767676,0.924666934907436,0.983123118430376,0.993159513231367,0.976430036127567,0.950114348232746
Sample No. 75,1,0.771813928511925,0.816540659371763,0.713590179187246,0.766475840938743,0.736243312737439,0.745654662851244,0.718594745210372,0.912446896494366,0.881010148115456,0.861720707119442,0.911159502378665,0.884724515642039,0.948466902896762,0.926276134960353,0.983970714714378,0.934693124629557,0.973193432241678,0.976990872118622,0.976289895717055,0.968565002828837,1,1,1,1,1,1,1,1,1,1
Sample No. 76,1,1,1,1,1,1,1,1,0.790780993715394,0.736858556793537,0.831973546861205,0.713388061571401,0.747890456452966,0.700103389892262,0.77876468398748,0.879683222496882,0.841277288629673,0.896483348992653,0.892561158427037,0.911785674517043,0.953917079810053,0.975909022204578,0.933000037651509,0.974466896411031,0.997865264452994,0.977957957684994,0.948822307232767,0.923251297716051,1,1,1
Sample No. 77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.783703566693235,0.761888257450424,0.741396612838376,0.725497912570369,0.751777534397785,0.794740773843601,0.711532320712227,0.887452974760905,0.869426399341784
Sample No. 78,1,1,1,1,0.716221345589962,0.777686218627728,0.797971848667599,0.835719170271419,0.80322592030419,0.800485662977677,0.784823085601907,0.905437679156661,0.904809094097465,0.909882503689267,0.845336242230609,0.879544421502389,0.931876168437302,0.949722643513233,0.993073288630694,0.936349651943892,0.937232514433563,0.93554716931656,0.944863548073918,0.967716997805983,1,1,1,1,1,1,1
Sample No. 79,1,1,1,1,1,1,1,1,0.798903171707876,0.716962804413866,0.802745177539997,0.726245626075193,0.778253451212309,0.686495279044844,0.736869218399748,0.876780500208028,0.904139221149497,0.854530872486532,0.908329695656896,0.904808831006289,0.973167979549617,0.949899871051312,0.99067936591804,0.953550749495625,0.936125944759697,0.933109490163624,0.936207342352718,0.969619059823453,1,1,1
Sample No. 80,1,1,1,1,1,1,1,1,1,1,1,1,0.812955378730781,0.702478538780939,0.804068735126872,0.75666700393334,0.804123848375399,0.826154324495234,0.779104004277848,0.845574661177583,0.886244169238024,0.87429576764442,0.863760643114336,0.860019656107761,0.992253694720566,0.925099646709859,0.953066593091935,0.976949209421873,0.937767715249211,0.967736262641847,0.937480748705566
Sample No. 81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.764641549369786,0.727536871530116,0.723512745871209,0.695393925638869,0.805644763565157,0.752464938118588,0.700884058036842,0.895776649792679,0.897180281333625,0.856714285563678,0.902799242887646,0.882625380611978,0.980113735999912,0.931414701230824,0.98717422567308,0.998430196046829,0.927044246532023
Sample No. 82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.779750889005605,0.77907867224561,0.801479156933725,0.691071919225156,0.812118674175814,0.778955507372972,0.817321361428127,0.871204066251405
