Sim No.,lambda,JWS,AWS,NSS,JSS,ASS,PFS,JFS,AFS,JP,AP,JB,AB
1,0.997,0.813430675647658,0.979152022371712,0.881321449886845,0.720647807102595,0.907734512817416,0.57592088837225,0.847959446330112,0.99033769028851,0.854316289568997,0.94300801251972,0.717704070606973,0.82095674818694
2,0.993,0.82000910832469,0.967545278201511,0.896681445773966,0.795604250247418,0.942162783836639,0.746540358656475,0.763290083557537,0.89216731542692,0.787508062536458,0.900165497804651,0.601386040492854,0.908119159258058
3,0.998,0.813444772224745,0.984811185966042,0.729234886051572,0.725717233504642,0.951703265110614,0.282487148490882,0.900348146792013,0.997143016752061,0.731545532725603,0.95448873600451,0.912929221945935,0.993308664712833
4,1.003,0.909694645302598,0.914106025832623,0.48219488503015,0.934216407684167,0.960785581007228,0.773537937481178,0.858995423836944,0.913160367086894,0.888702205370124,0.932348522319175,0.674499949074246,0.821183639189218
5,1.001,0.743764162748195,0.929714011612257,0.516794739241742,0.846758695350024,0.981987295582129,0.856892171036821,0.800461381277534,0.980583324925412,0.792596885880331,0.821531601648903,0.899822674013891,0.942680151174985
6,0.997,0.802602066332319,0.955678344607414,0.908109227431491,0.840151073352244,0.927921362805525,0.535922894706242,0.737378128851204,0.973477157467623,0.695924077717951,0.960296231429944,0.841915785266091,0.915605643196158
7,1.007,0.818856662228299,0.990085452375667,0.956028001267556,0.893696231436749,0.951637860681611,0.576710847905812,0.547566496064507,0.940027656239181,0.657158831551428,0.789155958060808,0.720528275742801,0.8596401518385
8,0.997,0.613148606922121,0.906702086877626,0.838531494494032,0.670934563816261,0.987631032596376,0.643846053265268,0.819615878666748,0.998799614829057,0.804130614831216,0.980450283056925,0.794317697421538,0.909247215480285
9,0.991,0.823955565135113,0.9674124439273,0.744946500715264,0.75485714979054,0.94054293976821,0.62152588967258,0.620984688465199,0.954740061570351,0.648867688337709,0.987987698905822,0.746533067063478,0.85443400895906
10,0.998,0.859000593853402,0.986713639440318,0.882760791752112,0.83407869147667,0.951291030010992,0.470668301818683,0.497838317387637,0.994334438220008,0.573661641462686,0.685334916817857,0.956368231880324,0.958832115510101
11,0.996,0.905887577474835,0.984731628918124,0.841157463776903,0.69663114195318,0.957889141222598,0.48996301526302,0.906193507936779,0.91713987634975,0.83104335664021,0.947001118272095,0.556966340238745,0.929924278257008
12,1.009,0.825482161845108,0.915540238837993,0.934373783814992,0.947805572766513,0.976414174882524,0.6859727119794,0.82041059854676,0.908283862649303,0.764316253491753,0.795469325802764,0.897375304910498,0.94803391358275
13,1,0.886449077188305,0.968997522120238,0.922175016999852,0.784517460128859,0.978178926161327,0.351378234578628,0.745270788347456,0.96807001387843,0.828001950866364,0.910346769985996,0.547965463691104,0.924627137199442
14,0.998,0.479864981462968,0.891465509779954,0.764922110448645,0.865646718669906,0.985608418753884,0.855483759105614,0.78557556263355,0.989208577018958,0.865650479818997,0.957487280441339,0.833332145821471,0.996930381303253
15,0.99,0.925242530047221,0.952319860039306,0.854276716670158,0.697867755874086,0.856634680506776,0.798231644254276,0.933933045652243,0.946211643272413,0.908608080088405,0.952597187717103,0.574274262506841,0.959729197750424
16,1.004,0.641052155571845,0.930571467653003,0.973382958672297,0.923387422607585,0.98297356736557,0.491382718644754,0.893546602644192,0.978691601330276,0.736221983838936,0.779569390629692,0.922145312496248,0.995997233353471
17,0.993,0.883393134704076,0.928065799083417,0.973451713873952,0.901720469080395,0.968001366578731,0.552224147111306,0.855266869793767,0.930280310482004,0.908595683016289,0.938364421190225,0.594351343757014,0.822713276618299
18,1.006,0.954572037086679,0.989721021285864,0.554376368112304,0.892242570967321,0.932001373516343,0.650168429866464,0.725206280878085,0.907342007523726,0.773807808023253,0.906767011053036,0.878985565102971,0.986824303074905
19,1.003,0.844664789040596,0.908255354919108,0.887646597992694,0.809816428169752,0.999076746528745,0.564882437818854,0.769385001960895,0.989270456824087,0.725508714023309,0.880553475818346,0.77988680853577,0.785660201909014
20,0.999,0.828479019274527,0.991992588279007,0.970862604829263,0.950775522925475,0.973677873841272,0.20411763711446,0.802018084371355,0.971991118577037,0.977765245878971,0.993376604174129,0.881728351199497,0.891873662830029
21,1.003,0.925698879562526,0.965198706441664,0.857585802204422,0.82467685148579,0.882125861978445,0.568687409365353,0.786157076274382,0.991576357359047,0.772860590549261,0.886398477454778,0.877956808448809,0.992731889463207
22,1.008,0.983577006354175,0.992921260506866,0.903557259320496,0.74780913944686,0.973427358112719,0.589292087384401,0.806707520447899,0.84609991215146,0.790850519933731,0.850715278439814,0.928236958150243,0.950877143366818
23,1.003,0.842422373899723,0.919603901464333,0.909465348517843,0.880315480824017,0.946415367537691,0.597949239244401,0.883116685051182,0.946669826783987,0.826523582965841,0.939417090612283,0.856729547845658,0.915328107719901
24,1.002,0.848171521957174,0.89857489847339,0.854159949442463,0.578528149764429,0.996401891937935,0.575781526224038,0.4258824627535,0.991844511905158,0.485550081802464,0.9745161905851,0.776062361001619,0.93491710629513
25,0.996,0.77390211978298,0.940435462510324,0.878639546697284,0.894277938804389,0.956134645383503,0.525611589477032,0.780903965557064,0.953573258942874,0.802957931842183,0.911818320205416,0.949159015771173,0.992520514601826
26,0.991,0.941479339151535,0.985387985822771,0.803635900904434,0.804841257771877,0.891080933188146,0.579637537646142,0.69690624942447,0.95370926286264,0.968770672799921,0.987043498831484,0.870898782601114,0.926081392730317
27,1.008,0.964772215530456,0.994442617707332,0.759428201777212,0.576837171216618,0.936893942208139,0.819257237452209,0.883277815175375,0.948007660635672,0.486776217089741,0.86072813644328,0.641234266748593,0.662165177498813
28,1.001,0.81678789936595,0.927234750193413,0.750756766567884,0.921543201808246,0.932022174950008,0.605654204186677,0.733620559776503,0.974064833059066,0.749324744343494,0.962347798698118,0.887191914739694,0.979995605064256
29,0.996,0.815691494011297,0.968939362446206,0.867416245642827,0.84593115823461,0.894030586339562,0.676339330965528,0.921576073444363,0.972533494280705,0.571563852988805,0.820772487797252,0.846638045712503,0.848980256928733
30,0.998,0.936802395599032,0.982271731783172,0.709895097121574,0.930556218852419,0.963163246839979,0.396299118894371,0.677039334170454,0.96695114780986,0.740347990710119,0.959281860140032,0.746193288037574,0.760102429205362
31,0.995,0.672706181610335,0.984776879231141,0.432890297578138,0.48518351573311,0.977802194026746,0.756745799954858,0.477477837177133,0.998379851635783,0.885164365977563,0.949343913136173,0.744049636624018,0.939711685885677
32,0.994,0.489784625855483,0.972376365170286,0.944814669314196,0.91325634561364,0.964150615484597,0.706563850512956,0.40713146081674,0.985343039136393,0.900278763256453,0.922966967307794,0.840042002702995,0.965831894002131
33,1.009,0.850283893054923,0.918496578671658,0.950944129721804,0.906158728909104,0.996863476240786,0.482428500882803,0.765657487402782,0.947554294141846,0.809861789749615,0.892690165805102,0.874208088808789,0.992990031151197
34,1.004,0.844020116877084,0.988109248081237,0.731558027698346,0.597789535304006,0.929281017140714,0.752896065669449,0.50880597452786,0.945510049789432,0.673934807540057,0.97667781624044,0.954313510319059,0.967698191411787
35,0.994,0.771493326500574,0.983867790986202,0.856465788468226,0.7865208331616,0.974873973411324,0.300349240379869,0.500739146449324,0.987869782220005,0.724903698774549,0.919548289006064,0.87833515061031,0.956222848962391
36,0.997,0.971476815268776,0.996297288044727,0.868030346877466,0.883795240029388,0.992852815517119,0.427726560313152,0.814774869155973,0.942586000432593,0.359204973986947,0.574522655685086,0.529511941155092,0.928587505249628
37,1.005,0.86399450110001,0.925242271629911,0.683967218152009,0.947629570524331,0.950830165019212,0.786685350649421,0.651665483373208,0.977580526201119,0.765809929938348,0.83987507102011,0.796758859765426,0.924818613805028
38,0.994,0.894614845064263,0.955032997072001,0.776218237723181,0.68703849662512,0.946642696004207,0.437815805908568,0.829027333343992,0.981495855951805,0.787403856846072,0.998329876610503,0.846649004477999,0.890089558042613
39,1.004,0.845719303998099,0.892215349229031,0.942214820223261,0.949681651466358,0.975172555337032,0.517374223371401,0.849766030362469,0.996999735851096,0.85127590330348,0.954732083490928,0.71528316519732,0.805123929431383
40,0.993,0.574617777525378,0.96349406445881,0.788253069425663,0.91560773389831,0.968724449950031,0.763103292556204,0.910673208098616,0.926516286677738,0.826166807290506,0.850551622672358,0.761567247725723,0.86942023375313
41,0.999,0.840183422399927,0.942120161757747,0.68765983906941,0.627363204117283,0.992293930021528,0.581347996582364,0.772934310017581,0.944117359454468,0.898626916255784,0.963274629231455,0.939940597940293,0.980686289113688
42,0.996,0.945193249976161,0.962987582529718,0.789740904191563,0.938200551464688,0.973920857285417,0.625102859756389,0.775556826340992,0.804256278476351,0.910870890366348,0.975959727557431,0.840519816805295,0.957148549530454
43,1.005,0.873026980766851,0.979208724662797,0.963884201075586,0.721746533981993,0.929733672084363,0.444917702687694,0.789107230393087,0.995246970317567,0.974832821663505,0.996152058045388,0.857372675273588,0.85995698371558
44,1.007,0.736811556894898,0.941536739531639,0.927558122466035,0.832496097144957,0.990469453519717,0.386094437832913,0.933555409230042,0.992139413310997,0.785812523045826,0.815247724562034,0.628540523486691,0.985606342188729
45,1.005,0.904579654374832,0.985294509779129,0.569959547138927,0.784154530893087,0.968556894160779,0.47206723825349,0.825694951466852,0.946502085134499,0.809516607890629,0.931214855995748,0.860216109198304,0.928380260779763
46,1.002,0.740997423305828,0.940762975299421,0.844665493468136,0.823889416435525,0.95026649852912,0.654536452858487,0.806248313001193,0.993612755871649,0.780606633739987,0.856890134794271,0.630657005464531,0.878594874665204
47,0.997,0.801955031203554,0.921959986579686,0.591159660818521,0.95511527649586,0.977417168320021,0.595971727630765,0.680597333038129,0.988623108341967,0.914408997980587,0.962316014341039,0.717380224676367,0.754895148976177
48,0.998,0.874920820305907,0.958420046766741,0.684802398416423,0.915012881748623,0.992022513651666,0.182188600834385,0.898175026345888,0.999752969840849,0.854524290917711,0.975683439082761,0.866429664358545,0.876634812318205
49,1,0.947223771951683,0.994048914109155,0.931456785858477,0.764412252568463,0.87361411455862,0.620072913857638,0.868672852372509,0.921141844417798,0.718452962148114,0.931449510427202,0.659879827622742,0.974788027733825
50,1.003,0.904325169770319,0.99088389365205,0.887047873713431,0.959045024516021,0.989536310428264,0.342290244120761,0.65529237371924,0.958783040645547,0.59210777898973,0.802962837374444,0.738019582277038,0.784761230855879
51,0.997,0.80657449167047,0.93928615815935,0.894896730883127,0.909956199880834,0.973984840858484,0.750881629764938,0.82933093947285,0.953489919414233,0.787620687724743,0.898379932113443,0.491024701168333,0.581721628532712
52,0.99,0.634163724875116,0.921006127370444,0.960166327349471,0.873675119054108,0.944560156016784,0.780395167063524,0.683849699100655,0.980903148017131,0.561891936830595,0.85486907255588,0.671633984748433,0.859662427045943
53,1.002,0.787334471256764,0.996810889910891,0.747373820613541,0.940606802193114,0.977465649619747,0.664983002817186,0.563341968531546,0.881626487200693,0.826726567636783,0.937599235707675,0.696277958466197,0.949137357147244
54,0.999,0.828180908748727,0.976056082769939,0.926169903118307,0.550388102170567,0.970617666977274,0.409043525068345,0.883151394567627,0.994647557311062,0.68162657270558,0.71430874699366,0.773349232768097,0.889172230600378
55,0.991,0.845129880294622,0.945743165380736,0.867905653335479,0.856679509403528,0.957066769553727,0.43081000759807,0.626625935368808,0.980625818248068,0.960917642156876,0.985804909754854,0.936647032324347,0.993181620683124
56,0.999,0.772584469778889,0.965932187838022,0.923642585458937,0.918470912959992,0.987605410908051,0.66661868657085,0.469237506331339,0.972299490973711,0.402368624724673,0.567570310735773,0.501164095244916,0.817158776385113
57,1.007,0.857189696682651,0.961622391243684,0.897465657459957,0.986946701030544,0.997036001616431,0.511160880922563,0.801880364897484,0.901779655301836,0.504574637320104,0.869059709845384,0.709859396093737,0.862396829732238
58,0.993,0.837788955997212,0.925773387916243,0.931374885013839,0.817516839398048,0.938595180752001,0.658944835986971,0.873046841091656,0.934198909090806,0.868015619345683,0.942133971671682,0.500732558731844,0.95174598859052
59,1,0.634538107542281,0.931001878625367,0.586820075554928,0.811858793018319,0.950536851217625,0.847684137113369,0.720421895489941,0.986208554080637,0.800696472730061,0.971818022065266,0.587123231581991,0.906172023318885
60,0.992,0.895314083737041,0.967691593734228,0.977779898984051,0.755641951571352,0.965970272985013,0.639853002804749,0.166603784136293,0.973882717500145,0.810152100383971,0.872151995402153,0.877156508377437,0.955926292189483
61,0.993,0.725262874216475,0.993445582783595,0.844103266417366,0.923736564216051,0.955166468780279,0.653788824021564,0.840899841056066,0.8724133217844,0.745361194026908,0.859219703945588,0.837505036660674,0.913868364514538
62,0.993,0.674999601059366,0.95133835640995,0.82302906322149,0.884044045764948,0.952375964658783,0.891467649981349,0.536446811813793,0.899919227787335,0.544513373777651,0.968519924877013,0.877572849651047,0.928200872063389
63,0.992,0.918454277754986,0.957321477645629,0.945781912800349,0.758446042643505,0.899022001962282,0.61198520110596,0.818042837654468,0.908714801906472,0.268261405378294,0.969467421091627,0.81811685664579,0.966212285644808
64,1.006,0.909457822891399,0.990893497817092,0.751222126076653,0.63112574579218,0.947587909816022,0.507596060888002,0.893627782629391,0.926892087973996,0.699161682694939,0.959444836068786,0.907344677048875,0.996263230971892
65,0.998,0.651352008871498,0.968561461931729,0.648874698210443,0.629313315156684,0.965225447402582,0.533241723351597,0.265310472394728,0.992894205640179,0.409623946528575,0.992361387969671,0.868386959821624,0.950147287334547
66,0.992,0.625773663423319,0.954884459846439,0.903636790640698,0.853169931354287,0.958487841667754,0.512854573898171,0.667427684477612,0.969868419860126,0.568860158478368,0.980352478191291,0.75961323737085,0.950003365141746
67,0.995,0.792039829565773,0.886952538624751,0.962331397407384,0.793769823386102,0.962674931225339,0.659436223732005,0.768472670622422,0.973261288745974,0.863265285977527,0.994151172978527,0.899603560480926,0.936336653040415
68,0.992,0.703258206495837,0.984819583175929,0.869427399241195,0.809430208895751,0.967811660205274,0.565202558215549,0.908084750568957,0.967905026857428,0.684501010730665,0.696194811789963,0.399377587102327,0.824714799556188
69,1.004,0.880202940037907,0.999580903202361,0.733863767682016,0.746828883059641,0.934173647162318,0.627939300701049,0.727372993778385,0.920311677035161,0.513144032317727,0.991788220734432,0.738736901327672,0.825407912474743
70,1.009,0.888488240049305,0.96712516915293,0.914238835516742,0.662385757807123,0.87342037501792,0.639354493035846,0.910821592215316,0.992647609717537,0.488906434883068,0.9700840754421,0.723003254279005,0.896681007285376
71,1.002,0.933191351759485,0.969100942165887,0.785196597071957,0.899303149588198,0.935740109479227,0.54062520735204,0.504031363415628,0.979814192486694,0.800313747620529,0.957230793049507,0.801666575334411,0.897723408537813
72,0.991,0.835628503667682,0.989694538903716,0.977668222638204,0.55217119444094,0.917116724434454,0.429334397398639,0.755954920825713,0.992152351951225,0.643656343699067,0.754446319629658,0.605989871127826,0.923206386790622
73,0.994,0.57112131182731,0.99441281916484,0.911044323493223,0.890848490263067,0.993664760104508,0.139179786591318,0.901130062302043,0.985989564346138,0.812219576663849,0.889058053170527,0.726785960845808,0.923079620257539
74,1.005,0.583847326004012,0.937901497262637,0.946698044952719,0.713039841405685,0.965246326404602,0.735156693705461,0.943369883872917,0.962649921324336,0.855159126687459,0.980088350249907,0.687437933404017,0.897174489442426
75,0.992,0.564135600966218,0.992683697068296,0.782236436238732,0.936716970589334,0.979436489298865,0.719255190508993,0.602141456061396,0.919442908955692,0.941740604623761,0.953459127483895,0.803924005114402,0.806994353315313
