,Years 1,Years 2,Years 3,Years 4,Years 5,Years 6,Years 7,Years 8,Years 9,Years 10,Years 11,Years 12,Years 13,Years 14,Years 15,Years 16,Years 17,Years 18,Years 19,Years 20,Years 21,Years 22,Years 23,Years 24,Years 25,Years 26,Years 27,Years 28,Years 29,Years 30,Years 31
Sample No. 564,1,1,1,1,1,1,1,1,0.790388157732319,0.705647295936011,0.808885538451374,0.814449356474448,0.721531915584579,0.752485652665142,0.814607223753352,0.846082807801664,0.877898286158219,0.866946641082875,0.880148967456073,0.83828117480129,0.920620159748942,0.953403933346271,0.939299136195332,0.973524266276509,0.948525973446667,0.997341034058481,0.994167908318341,0.979774526637048,1,1,1
Sample No. 565,1,1,1,1,1,1,0.827191819810774,0.810511182273272,0.730881632691249,0.709516706330702,0.749741622224916,0.822373567918781,0.740324964305852,0.909063005868346,0.902363717486151,0.905827021260746,0.852016397261992,0.904992910731584,0.920917868874967,0.972038451097906,0.948563979938626,0.93341903148219,0.984820052236319,0.938824286386371,0.955711427852511,0.94106764446944,1,1,1,1,1
Sample No. 566,1,1,1,1,1,1,1,0.774912218133919,0.787302392734215,0.816068759969436,0.781529986859765,0.70974346810393,0.698817167537287,0.835713024974335,0.910702172718942,0.861417566784658,0.838477676822804,0.848598626762629,0.871570594544522,0.948283134587109,0.929145325981081,0.927042995467782,0.981344288028777,0.99724223844707,0.920372239295393,0.943398098610342,0.983377482388169,1,1,1,1
Sample No. 567,1,0.737793214818463,0.749403626799118,0.714896787238773,0.777247998969629,0.801064128988888,0.730372241699602,0.78118962581642,0.858547156872228,0.913768900770694,0.898389858762734,0.86132714131847,0.892282525860704,0.968842868730426,0.974128739461303,0.98887306233868,0.985106646940112,0.977130679376423,0.935148749612272,0.932793652303517,0.981028237100691,1,1,1,1,1,1,1,1,1,1
Sample No. 568,1,1,1,1,1,1,1,1,0.787595280878246,0.762913897402119,0.722205986246932,0.790358605132438,0.714782636439428,0.7874166114619,0.801248911781236,0.853802275405265,0.837665835440159,0.907590274188668,0.88071531201154,0.90324593448732,0.949346187189221,0.96788908239454,0.972543695066124,0.981957073733211,0.987723808400333,0.9977062259987,0.944480618909001,0.93023069165647,1,1,1
Sample No. 569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.824641068479046,0.6938603751841,0.805243739545345,0.791520382837858,0.747327145760879,0.69220396474842,0.691883163854014,0.885051661697216,0.866849215869792,0.886835815666243,0.89434011304006,0.841229453306645,0.934242257345468,0.987747493647039
Sample No. 570,1,1,1,1,0.805723649742082,0.765715325334109,0.75812785014417,0.756272290927824,0.686231750856619,0.711213719508611,0.728232598131523,0.845550854320638,0.908648860947229,0.896563451005146,0.861617206244729,0.868769347531721,0.980462370645255,0.978251260817051,0.954946678578854,0.951413166243583,0.949884812645614,0.999745106119662,0.96535011805594,0.969207309819758,1,1,1,1,1,1,1
Sample No. 571,1,1,1,1,1,1,1,1,1,1,1,1,0.827157886828296,0.713550911682192,0.692322644080501,0.741314484401606,0.785729329184629,0.822890929925721,0.752701886139344,0.9171174295526,0.846748382596299,0.915889768790454,0.894180898794904,0.839920482976362,0.998335710987449,0.925987673234195,0.983297819439322,0.961689028292894,0.985431019384414,0.923456316962838,0.975356962997466
Sample No. 572,1,1,1,1,1,1,0.812037716097198,0.812882223191205,0.738307475765701,0.791410149984527,0.826880525601096,0.751061177907046,0.800994419319555,0.867663148056716,0.851187920017168,0.846895948817953,0.873049391305074,0.870353079827502,0.935641233418137,0.982397510688752,0.939694387093186,0.966946587897837,0.945203114226461,0.947525578513742,0.949002164378762,0.979544148575515,1,1,1,1,1
Sample No. 573,1,1,1,1,0.752364298108965,0.732488392679021,0.765922620067373,0.779012168235146,0.783431595937815,0.746303408605978,0.805854053505696,0.915694811715745,0.848495281841606,0.871374203708954,0.851837833943777,0.901754526776262,0.923941797222942,0.965393797252327,0.964756635837257,0.959888794180006,0.959218282625079,0.936763101946563,0.976585670858622,0.96959514984861,1,1,1,1,1,1,1
Sample No. 574,1,1,1,1,1,1,1,1,1,1,0.769715773513541,0.754949088524096,0.75912947367318,0.786210231659003,0.709845709615853,0.758367247950751,0.7070675101378,0.889153235306032,0.840679140102118,0.866108481488191,0.891178850707598,0.848286407787353,0.959339143838733,0.959415250699967,0.935584686435759,0.973175847548991,0.933006027378142,0.974862426258624,0.990885890778154,0.924957413580269,1
Sample No. 575,1,1,1,1,1,1,0.703765147367027,0.758285145497881,0.730009578716941,0.793290550961625,0.817829339230899,0.759538426100276,0.813876392484177,0.855594811327755,0.910828514961526,0.856490036556497,0.837073678945191,0.855040998259559,0.955017217993736,0.925097064003348,0.973791625741869,0.975186027046293,0.998759371973574,0.942803643420339,0.928147448711097,0.958324521109462,1,1,1,1,1
Sample No. 576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.787685538294259,0.688452951739542,0.820837665117811,0.818403363566846,0.742032300286461,0.712445474440698,0.817893809861504,0.844677825933322,0.848841768266633,0.865587267102674,0.864240466228686,0.86575211750716,0.945746924709529,0.985143169797957,0.998322938550264
