Sim No.,Lambda,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25,Year 26,Year 27,Year 28,Year 29,Year 30
11,0,64372,61693.8202148406,62501.1084908826,58854.1564433812,53913.4923814024,49752.8605815865,49912.8966995974,49426.6970316653,49447.8293129139,46945.7805731327,44734.9917523242,41627.9703080328,41625.2168168084,42497.9628812204,43270.6221463239,39770.2310100106,37873.5316828248,37312.2710334968,35499.2569405309,26721.7059883015,16431.4928498222,9536.38246499839,5871.32235552791,3310.4695576065,1286.25695819319,51.4804100489633,0,0,0,0,0
12,0,64372,65157.5143391221,64424.5154469269,64670.9670952351,62727.4198364998,41023.8489646238,29077.7676435421,20069.1402941385,15243.4904132263,8988.17797801393,5776.24002053781,2785.21343543136,1129.96774659396,69.887850120629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,64372,62440.8406584245,61543.5638222084,61755.2748543906,61068.2725602018,57819.139934791,55784.543036628,51634.9293087441,50350.9626800564,50925.5721819446,50668.333745383,49801.2209322455,48005.6911025505,45715.1460317732,43615.3129248792,31570.0409003412,21037.9939500683,16162.4550142096,11021.7171136608,6676.8092190333,4198.29591493924,1710.18603357292,212.671969167664,0,0,0,0,0,0,0,0
14,0,64372,69091.861954468,63338.7715320644,64319.0869212704,57508.3675577377,55721.4737150478,54860.5501005776,52172.0220152888,47593.5173388992,36411.7930346848,24811.8846561521,16218.8307315356,10438.4985013831,6129.34423605602,3319.85433538673,801.228781903549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,64372,62617.2700921027,60685.8772597374,55615.3099478981,44125.5918481896,32067.8494558422,24006.8409968239,16080.2930732323,11572.7963934302,7345.75380883539,4269.74222097614,2504.39362650651,881.101048459907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,64372,63342.389004333,61267.9639657753,46457.7343862844,30915.1962797291,22095.3857054739,17075.5598082429,10741.31928335,7399.98968102822,4436.13451416436,2573.83956909172,902.427824891217,13.5497531680681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,64372,60492.8915234988,57112.4789606223,56360.9411994177,53807.827558132,51684.4538007341,50401.9818085093,46463.7576629626,44856.957534548,42983.4902737702,42420.2052090001,40659.0081829705,39329.0885288393,38696.0119039305,36655.0627312636,26252.5086844768,19802.9240359616,12767.3391053812,8129.15659452486,4363.43969460291,1979.87999741259,188.053457657272,0,0,0,0,0,0,0,0,0
18,0,64372,62985.7476698151,61191.9229471784,55399.12987296,40410.40069334,28661.9780635151,20245.635709853,14019.2660955639,10026.0787987703,6050.08236326608,3239.88326334314,1767.27528652726,220.752555212785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,64372,62848.8703258869,60249.7975824888,58136.5114315728,56329.3335694516,52926.7992190756,52121.6403966869,49687.8221197145,47217.4133225364,44878.6398277514,41980.7374472381,40820.1536146373,38674.3390118806,38806.4423280247,39774.2663165421,37452.0556910325,22999.8458997273,15871.9781539813,10847.8983484531,6419.16278925506,3688.95965077225,1422.41400311256,49.5171165565825,0,0,0,0,0,0,0,0
20,0.928812831520723,64372,58605.5418032613,54946.3841014567,52482.4747673347,48740.8454232957,46659.3189038547,42926.7450393446,40088.2216108678,37587.6893744371,37572.7294342313,34845.2651164279,33510.4372355064,32273.1656663826,31907.6488207102,29583.7149483221,27051.7234233153,26365.510053583,24910.2483032534,23526.4868682356,20491.0325790398,19830.2565695847,18346.5293622108,16096.6170576472,15550.4951603828,14360.8912360449,13111.4189108495,11917.8357001825,10275.9636287453,8577.1399697216,7227.52214140154,6833.2308326613
21,0,64372,62671.2778056122,64193.010613018,62525.8947915522,58793.1899485189,56326.1291432625,52849.5960456002,50412.6768981195,51478.5215601967,46118.3314264009,32562.1708822804,22963.9919112314,15683.169673606,10631.6253213573,6433.29234805623,3358.35366271587,1448.63118580501,105.922433860341,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,64372,61945.8470560899,60039.7656383242,58265.4536026652,55086.5354901194,54806.8675590408,43122.3967884298,31287.938803135,22049.7269745416,17231.7603224352,11504.3842610316,7940.70305698687,5115.45723241243,3335.74833152018,1564.22257731106,127.805907117559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,64372,66535.8395770762,62516.7280335969,60952.0591169213,62361.6595570959,61084.6498228054,61318.0576437051,61649.2005292707,60816.05252583,60408.7770796614,58044.9964983561,54496.4434969388,50332.3253695598,33310.0384809634,25357.8285238551,17243.6963026714,10309.6611103964,6815.17256152605,4165.17675568627,2052.08085838693,473.057969731077,0,0,0,0,0,0,0,0,0,0
24,0,64372,63951.5264054853,62819.2437228107,61685.7704717159,57056.3121599061,37579.3999009475,26107.0752556781,18543.1552028693,13498.1156668715,9036.37699936101,5476.67272626061,3187.28925693386,1370.00500818904,63.6789151001117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,64372,64170.7347798642,61294.0819457868,55304.1854601002,55578.7410746939,54030.661587997,52384.546351037,51086.0813573678,48500.4854550907,35682.5384434044,28309.8954520377,19590.6767015083,13913.0104116856,8820.24343898666,5252.40802023551,2170.3332967056,558.590820356464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,64372,62806.7247014449,49040.0679029183,34560.6654237247,22613.7939455457,15863.8793537302,11131.2611807662,7786.13983427174,4049.80386996838,2015.28564995729,450.894251488974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,64372,64218.2057527105,65616.2239039115,66881.2068530187,67077.1439885435,66204.0426173522,64621.3960155959,65610.0037467566,62649.8201134287,62399.7485007902,63999.4371001238,63709.221208494,60247.016639633,58348.4994915892,55130.2627120037,53152.5507289394,51598.66200962,49280.2883713586,45500.2332283875,43610.5943090906,40243.4680991958,28928.5020601177,20461.9889065276,15120.1808099425,9954.89940447027,5681.99586275358,3060.63610434674,1106.02372884811,34.3062739205151,0,0
28,0,64372,59330.823536,58063.9409943119,55319.6481398128,53112.2003589329,41216.1242261211,29684.1083639848,21750.7156902765,14090.1208713238,9285.40412023495,5717.93054927091,3038.07195629345,1223.30750021165,72.027952290787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,64372,61983.3134995806,60282.0231308751,60150.2331199891,59042.1841165959,59189.0719632,59599.0500491649,61944.6216294431,58665.828881988,42001.1058831668,28661.9945054707,18498.9815562846,12838.5729381982,8386.07377434491,5006.76437185172,2530.96975555508,907.161433935196,6.12971228422768,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,64372,59870.7656509606,60562.1815871246,61658.6270556878,61556.0143555801,59986.5992305677,57349.554980458,43476.6945110431,32094.2799830341,22598.2672468738,16931.531398107,10164.0172900471,6953.51089266653,3369.88466794303,1460.13222793524,74.8988992342633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,64372,65491.7757093159,62111.7560709448,56823.6653922396,53871.0750108982,53122.3449359776,49789.3282252508,46260.6084414503,42322.4523546263,38119.964666482,34803.9144042317,24385.6334589061,16551.5828532564,11928.0178776819,6520.26843882667,3342.43819755955,1238.96536107321,1.46939509500356,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,64372,67009.9064580885,63820.5899153096,45517.0047047116,31166.4172727532,23596.3361377792,17992.5396066815,10719.0864204371,6036.04941698859,2849.41722815241,1078.55468392059,29.8827497339509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,64372,63070.8103059031,48702.1357237659,31947.8218607724,22046.1474278675,14421.3244809142,10747.4468499917,7371.85218835989,4992.62246457923,3380.22475162294,1825.64638512649,329.069017883685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,64372,66418.2733619203,64347.4711023965,62466.4238607991,60491.4026780589,59061.3518797135,58995.5415878771,59027.137300675,56049.8626704068,57509.7691480508,54543.8301112179,56526.1690168983,54202.1746120621,51583.3985193594,53141.6107371679,48457.4569675707,34608.4090871224,22874.6145450224,14578.2593451064,9401.8186123659,6731.06723066434,4407.34612008769,1848.45954810522,210.0180275162,0,0,0,0,0,0,0
35,0,64372,60487.6666059481,58916.5704962613,58009.0503906876,53968.2904969805,55256.8308454686,54189.2366602644,50688.5367188409,48635.1114753634,46638.6065476942,41873.2460383715,41300.4615666407,37894.4215881834,26066.1110036907,18161.0571788332,12822.4167885629,7724.68067595341,4812.07005703489,2379.19222611747,663.684088325702,0,0,0,0,0,0,0,0,0,0,0
36,0,64372,61387.7704547582,59264.1629219348,58342.3352315198,56349.2093184768,56103.3050280746,54174.4751195136,52783.4610423265,50777.4881044464,48306.048413216,43630.1133034765,41847.4123495567,39355.5305256003,35859.2867839875,34766.3878531072,33953.381782544,31762.3179280748,30153.9440535387,22438.0870069854,17044.7241081303,11168.4032364749,6623.06362671994,4033.70400100446,1770.4462583204,256.349116498296,0,0,0,0,0,0
37,0.920581784032039,64372,64588.5046935883,66925.4981211287,64769.5997669823,64409.2956099878,62123.7680160366,59947.9716749357,61901.7841668769,66750.8999305442,60395.3011381161,59276.5458213484,56420.9536634615,55727.7171711342,53012.5815100261,49729.9109495564,47118.1051109175,43982.3236956195,44355.8538464306,43713.1530667564,44195.1968043344,44035.7668793108,41054.9499619047,39450.219262103,40110.7214841579,38652.5347262175,29414.4993340964,19144.8012687821,14757.6756827951,8801.7198361581,4948.8893126648,3774.80683922093
38,0,64372,58053.398335599,54513.792253614,54056.6431854518,51328.1045288767,50393.4522746994,33115.0291744562,24396.8909043611,18014.0623211987,13354.5363983301,8910.51863362669,5958.2030769794,3071.70331802182,1351.31051253571,77.6212011515803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,64372,63236.2473595661,61187.2490245801,58637.0340599273,59804.2790905236,60284.888620827,58552.3447009275,55371.469489031,54479.2960099031,52621.7514021612,48169.6237057306,46319.3138413618,42845.9373740486,40980.767534267,38171.6507686312,36786.588254188,36012.6426559783,33546.0276924295,31163.0972646656,29094.7364075712,28896.9256406897,26471.0651119908,19239.0220645401,13606.5453983937,9438.58213893792,5659.09964069954,3212.12556550951,1164.07315795247,28.0131497802094,0,0
40,0.961974117089295,64372,59912.6527376569,61533.3753565155,61133.0385650538,61105.7724256694,60290.0303480499,57086.3364505412,53510.9574768189,54031.3780448745,51816.5574262727,48171.4465178282,44279.9895831777,43249.5545242696,40789.8751831074,38864.3100650522,38963.6479828868,37944.5402816232,37220.1636641356,35956.9458558274,33072.3978164868,32686.891789782,30452.9784534925,28035.231000451,26759.6246745691,25725.122481448,24048.1931645411,22342.8303971443,22128.2747565499,20763.9323523422,19691.9728124549,19822.9457951897
41,0,64372,64874.3039030931,64987.0839608092,62306.3308878362,63026.7487854568,61367.8253414922,55612.1898572514,38670.6912821901,27628.6666078714,21176.6860337815,15446.9173997934,9503.76466790693,5626.06347159657,2498.96971666182,850.203770305259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,64372,62278.458174544,60802.6676031962,56140.6423365419,54816.1106180043,52910.2727680585,54599.7283318801,52993.3780914467,51811.4991244078,51798.0607960516,50002.3918872356,47729.1870236789,45401.382615652,45303.7965905022,42064.1256072738,39045.9158126622,37576.5505758416,34100.5746122214,22083.7128300827,13564.4110950181,9805.62716687256,6067.43459493942,3561.07613820047,1308.12944852302,87.2729957120766,0,0,0,0,0,0
43,0,64372,58147.9025256391,54445.0005222346,54720.8553666351,49926.4533029384,47735.1816383761,47204.9040208604,44399.8253081242,44490.5612965204,45878.732701803,43726.9619539355,42258.9425710579,40163.1851580267,37535.9826932751,35922.7031498845,34149.5366657697,31779.1356655756,23780.7388212975,17334.8329042642,12490.1824199859,8184.47769080831,5316.16712952503,2927.34624036655,1056.98962697087,38.1771569615591,0,0,0,0,0,0
44,0,64372,62440.0188463,63213.5728250571,63524.5635627082,61934.6353150631,58874.8031425014,56981.008369159,54498.7637379716,52486.6049972911,50879.8778460214,35599.3193616519,25381.801239102,20320.1898952704,13373.3717965844,9370.55399787547,5197.37358778152,2546.00655170528,909.932769257801,8.59175012376787,0,0,0,0,0,0,0,0,0,0,0,0
45,0,64372,61279.4341630107,59895.3281312345,45408.0916863702,35459.9487220223,23630.7206198898,18571.1399822209,12408.7078015512,8457.55334468563,5732.123782176,3846.71954243446,2238.6946418429,641.762644871706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,64372,62677.3837068978,58016.4400992444,41959.5846547227,32760.1236442388,25601.4180598594,18836.7218697762,13065.0266781947,8508.48121737531,5091.40158855462,3210.27651449892,1568.80683075502,125.365710660369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,64372,60449.7655694816,40947.6948724104,27024.5091162725,19867.7050090309,14254.3949734234,8492.30438666879,5247.64609005622,2634.34623171859,1005.96698200101,39.7132349381953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,64372,60984.0990599274,56417.7777762898,52436.0477085385,49240.91661282,43508.6739481373,39761.3672023498,37092.6985603917,24251.1365518418,15651.8009581187,10543.9812122173,6858.9950479257,3630.23758849043,1306.37177161043,18.734691506872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.937872229124346,64372,62886.0488716602,60200.8854959728,59489.4401115734,55956.7251131708,53715.2825340448,49826.0755626801,48242.8116161526,46428.6020059831,45715.713803791,46205.7108672629,45207.1619443093,43776.8307438634,40642.4223879029,39781.7809049989,36479.5907141025,34512.5274469069,31422.5672253235,29760.2899460132,27566.2763337589,27087.9536889074,26486.8776876736,25318.1605486111,23088.381090892,22778.4481289349,21710.0250009863,21023.6233384348,19307.4209105124,17580.7175818956,11480.2851107195,8500.95264982323
50,0,64372,62150.32550162,57028.3660790405,42302.7972508524,31109.1187513601,23240.6976244894,16286.3694755078,11960.8653144083,8748.23385016371,5147.72442086579,3480.98618526791,1684.458364997,323.042846111133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,64372,60168.7932318128,58007.3586828898,56439.4285150732,59159.8723198601,57760.11461428,56123.8497379691,53905.6985344427,52685.3699301315,53448.5146888313,52309.9191996655,49594.8316969299,37945.4605304,28524.5964006772,20454.6867248279,13096.0903394581,7876.14328622444,3974.16816228853,1756.20580896931,185.168413334647,0,0,0,0,0,0,0,0,0,0,0
52,0,64372,61864.4217384147,58907.2915829141,59167.029125214,56605.5089613972,53236.0626196316,50543.7017423525,45921.3972725709,43948.143364567,42409.225390739,40574.4259150917,38995.9216784824,37563.3501744592,37527.5777660345,26667.0884988534,18243.3092286339,12676.1918370458,8040.01206626758,4196.153761615,1555.94773922691,83.1676124899829,0,0,0,0,0,0,0,0,0,0
53,0,64372,64920.9987986332,67432.8297495074,68352.8063220504,65773.6480750739,61225.8759637699,58755.5961390685,60103.5281520938,58585.0423835522,57527.2011442671,53935.1898290559,51493.7756900814,49896.647523812,46811.3310915295,47289.1509838442,46573.1283717873,43819.0410436785,43048.1585193481,38546.635425868,37173.4557578703,34258.4327739104,31628.7811490007,28841.442425385,22946.6176432337,14782.9414738994,9316.50028610496,5266.63608112072,2353.24166073272,535.47622396821,0,0
54,0,64372,60737.0558514401,56688.251090245,42344.2517500985,28703.0607693993,21873.2355406741,15287.8328489831,10430.5220023628,6201.81543047249,3126.56969436706,1365.27484866678,54.3975864540386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,64372,60130.011740382,57835.0236471488,54163.8530598938,52949.0130897771,48926.9659524579,47351.6154223135,45717.9283404033,45246.7511797919,43070.8256155496,41950.3937762449,39790.5988351072,36684.8442290967,34038.6202060575,30552.397471167,27848.4868361909,24143.4435410024,22927.0960027714,21207.2592325502,20406.5406884085,18805.7660636187,16406.3792661666,16391.5033632807,14294.7472991422,9451.4481406118,5061.81298267876,2707.02972036576,691.716275107922,0,0,0
56,0,64372,58546.4944341976,54788.441734701,56716.8409213121,55602.1561076379,54591.3570288224,52333.9246640179,51873.5615828901,34365.2263552469,23011.1585045653,16299.5952848205,11004.8414667508,7014.32475295448,3619.59394521934,1591.6930589103,116.526744782123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,64372,63418.5936348487,62068.4587063305,59469.3801523813,60540.1950816517,57232.9211392128,56169.826449509,38326.6503058376,27245.7993392554,17715.8599175538,11986.6178766674,7957.17353471811,4212.09422657423,1606.46425540304,201.387666052315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,64372,64220.3558838145,59828.9262899439,60419.4735365371,60828.2896798502,55011.8651248043,42803.7176664708,29780.3337392397,22170.1170045839,15313.1331714738,10147.7231889507,6117.42074116742,3798.53761362839,1887.42179978346,440.677681488961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,64372,65939.5653757041,45369.9839364945,29937.6055083214,21613.9708651174,16647.2084664438,11789.5229363339,7746.33574117809,4583.57803336207,2769.64659358187,910.248661213444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,64372,59405.917671573,59710.128893282,61919.9379575367,58266.0964271168,57716.9526467084,57309.3259830526,55614.3387478072,50957.4539758714,36904.9262647538,26696.2564243405,19889.9607605055,12966.2402280531,8890.02255814135,4902.86464015292,2366.61008506517,595.557506486025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,64372,62390.8211795341,59689.7445426939,59243.5378211156,59752.7030490064,54039.4548346362,33968.49460625,22583.837663779,14865.6758902756,10227.5352003095,6163.8878011079,3098.22930140349,993.681924234185,28.4002665032886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,64372,69293.7151041766,65602.1533345822,63085.2228735218,64554.9219446982,63973.0916763258,64614.5969694568,64107.1609215119,60851.9991066378,52096.1578747606,37822.6195500812,24334.7630133867,16930.0316759503,10314.0480357316,6887.6073776895,3966.01040473772,1767.94989029593,190.017602217808,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0.853917245931498,64372,60115.5020958038,55313.6427907878,53155.1342601024,48304.8074535077,45504.9632576608,43019.899512874,40463.3348149508,37241.1058055734,34719.0385261371,31019.6356342531,29788.5518360631,27209.4833190834,24836.5810832661,24453.170230425,22606.0927884994,20955.7843022234,18876.4476418984,16736.5673521842,14396.7084168321,13386.7103957293,11202.6193037212,9309.13173254707,8137.13840993578,6566.50267803998,5015.13904379268,4053.18669880661,2809.68532603073,1510.17823617424,159.382214050395,137.486410707327
64,0,64372,64573.0194754067,62770.2168235781,50193.5070686219,32037.1660180631,24966.8558604665,16247.5055707412,10736.4160234321,7317.78670796095,3730.13561072492,1712.07631143554,259.825644744509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,64372,63505.9261683774,62614.6515987541,57858.9773076495,54727.5691766827,54352.092838023,50056.0334873221,48197.1496715001,44138.3986929204,43684.0740719243,38869.3746782529,25876.228797718,18903.1511186178,13264.7827114137,7806.22770922751,4932.25373698955,2166.53371600512,302.837037051291,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,64372,63882.3814091273,42356.6060799941,32433.5889037495,22278.0244122401,16282.30187644,10744.4760942046,6384.93064129893,2982.79777365584,1396.63700442002,75.3973760309073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,64372,64953.3919481159,59333.1833716254,41130.7820369143,27712.869479934,19788.0802327774,12761.4054326447,8668.53278954581,4938.17962623107,2330.36275195189,767.931475017003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,64372,60051.2496588376,61423.2435071551,59729.8636131584,57247.1744530941,53366.4237604139,51383.8827932656,51530.5364751617,47042.9933594799,42245.4965207444,39749.9934475794,39676.2101433369,37946.3794146773,36895.1603635882,35363.9449491604,34340.7716029813,30222.4099857894,29892.9232356077,27339.3278714893,17212.8683156103,10610.6332385277,6351.80921124717,3124.08710991581,1085.92978455145,17.3280638702249,0,0,0,0,0,0
69,0,64372,58782.0856445781,61244.9480006046,57742.053729522,54236.1272894541,50642.4774880147,39084.675035696,28115.9701432891,21433.9564250606,13034.1437223572,8616.44369448924,5056.89374452937,2879.36576115977,1120.55262684405,49.8495706005975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,64372,65309.3575839385,62988.5704758412,62539.8975371953,59349.2217278054,58255.5766760448,44108.9644650265,33785.2051172589,22744.4213262742,14315.3446723325,10302.7126016083,7078.81234663368,4040.77910351813,2250.60483452687,599.648470975963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,64372,66942.5726485209,61987.1018140287,56801.3782460853,53042.7918674751,53851.2477997016,51311.9203280966,52739.1041607166,50159.172499388,50344.7556909376,47271.8289681237,45814.2462362244,40306.811634158,37714.8484822214,37585.702939389,36112.1522041799,35830.1254809667,35058.725128576,24662.5681603915,17393.1268624314,10969.2067552181,6515.2469868739,3703.32239519672,1493.10294141326,94.7649513624828,0,0,0,0,0,0
72,0,64372,61345.6062258176,58356.7619563945,56637.5514929114,55883.1885980675,55193.2222563396,51035.4915551123,50040.1570566195,47074.9126659466,44908.983292534,44116.3468819929,42846.715393848,39088.8115067488,37712.751037994,35648.4408488646,31833.712131698,29732.0313733046,28915.1890020449,27577.9908877242,25024.8199905995,22740.6830868129,21142.5311438508,19035.8391862757,11746.6181521791,8647.76389052763,5071.24291060463,2404.26826155648,524.297072477889,0,0,0
73,0,64372,59328.6499121066,58921.7688901531,53227.7698795053,49888.3633981734,47207.9269193496,45321.8786352003,43400.7241934219,41810.3889035677,39818.2382446571,36098.69707287,33182.1893730184,30292.254249937,29178.8015976744,26731.3965553577,24467.178739069,22506.7234762472,21324.1457763394,20490.0874432498,18217.2282841106,16111.5211008268,15096.1817626271,13476.8165880333,8887.66373773016,5344.91806352419,2297.83278447992,364.091895241211,0,0,0,0
74,0,64372,61759.6757478989,63078.5134702035,60354.1235460654,58967.1440921927,53915.6641069638,54820.6352955773,55122.0764848535,51336.506393414,46203.5236425657,45106.5944764552,43350.7771365285,39661.7963523662,38854.971074637,36380.4697911792,36294.1020668957,24126.0068123323,18400.4415905275,12851.9718482473,7827.86042564105,3639.45058623626,1491.78003667483,74.9877130197313,0,0,0,0,0,0,0,0
75,0,64372,61835.779052805,59715.3824795926,55403.5509321855,54625.8975214697,50014.402054904,49001.148430699,48921.0260508199,47479.6922406939,44969.5724481472,41286.1795256857,38573.6274471807,26881.1432649068,17580.3198222534,10664.0977946417,6215.70302593243,3585.54662738136,1565.67910573112,84.6107446842453,0,0,0,0,0,0,0,0,0,0,0,0
76,0.90153804286463,64372,66329.2208815736,64812.4236395557,62470.6232008196,59967.1201583472,63468.0138862463,63692.0417454066,62861.8966969941,64428.6483666581,65941.1765363122,68249.2425861603,63725.9379662962,61210.6737073749,60652.6277497435,60009.2452946405,59352.8802421385,55958.4247255718,54838.8433477136,53783.6913138092,50581.2504047527,49967.8174564393,49493.304820699,48748.9783812148,37365.4386771094,26635.0217990264,19530.6183979303,11919.5305506991,6829.92667002,3993.91153473934,1789.69488749293,1580.00004159171
77,0,64372,63440.3388297974,64170.4746716773,59880.9603372077,60699.9321268977,60002.5861747678,61509.3205970323,58925.6145141297,57475.1636619985,57495.5157117515,57045.2121652187,40381.1457919475,25965.9830715494,17413.8933231328,11576.3954360003,8413.85686051212,4398.0434056742,2171.53135277495,617.845889476474,0,0,0,0,0,0,0,0,0,0,0,0
78,0,64372,63473.283316766,57311.161875686,55593.2028309637,50888.6108988864,49101.4231614054,45597.3485877034,31315.0501516932,19297.7010044953,12013.3934924574,7951.143205243,4180.48865937729,2022.67675365533,234.741411984105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
