Sim No.,Lambda,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25,Year 26,Year 27,Year 28,Year 29,Year 30
1,0,64372,59405.3222128585,55581.5135433711,50406.5958206454,48496.173998477,47056.914649108,43901.4415506613,42333.8238991261,39058.6294546689,36553.0797713861,34333.4845514815,32914.3685384554,31715.5902942812,28320.6867409928,20050.35407403,13110.6718158157,8358.96462081716,4911.88907221287,2077.329216663,236.302842757795,0,0,0,0,0,0,0,0,0,0,0
2,0,64372,63705.4089337918,60861.5332177424,58110.23238688,53814.2570478662,52063.458189207,50671.1922377699,49791.100337683,45798.5868676842,41799.2673605692,31292.9899055898,21547.1083838808,14960.7157659704,10092.0017981163,6353.71515283521,3346.13019746592,1149.93997102703,39.7287421089781,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,64372,60273.5051557307,58168.4685754856,57323.1768402942,54699.6669546168,55446.9029547269,52659.5139186732,50891.9979198062,48860.8633379143,49088.423147341,48083.9307522998,43459.1857685479,41746.3846989842,41007.4263646465,37638.3424716577,34247.9713837802,32563.2364618142,32375.2984881617,31546.8963929838,19901.1895462581,15046.8804891966,9039.87839705013,5973.23254303072,2931.38410380634,1037.65620414806,6.95623425680834,0,0,0,0,0
4,0,64372,62564.698626877,60110.9307255448,58700.1626549933,55093.3581147673,37714.8240972597,24787.8105099989,16471.3639680985,10905.2897853928,6548.40533126222,3832.83493842103,1686.05277441015,232.050878465869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,64372,64338.2127636311,63273.5599094221,60901.5958542312,60327.2385847886,59172.7029788426,54639.8803521472,53262.710909209,51846.6613742761,48531.5753850026,45707.6501729211,44308.5929270173,40456.6184737143,29505.0286461734,20717.0402485595,15354.6965616982,10245.0690463884,5445.77910285148,3142.40859860647,1100.60284103826,70.0118326709209,0,0,0,0,0,0,0,0,0,0
6,0,64372,62114.3040712196,56616.668394728,56067.3384410119,42802.1937159588,29654.7744571839,20822.6830821409,12841.7511505547,8646.59098445304,5514.11873608038,2456.0809294187,764.742995857401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,64372,59901.7356719135,45446.5664107753,34608.4253921191,23593.8898824997,17969.5310369134,12128.714216146,8027.89671382029,4623.99596205107,2603.35972080673,960.719173600695,22.7493424301504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,64372,61532.2502249343,61592.8703574674,62655.7619482776,55395.2737501825,36905.154226583,24962.3847708372,16349.0775162575,11600.4667270282,6646.4932804211,3492.03043013486,1118.21782273092,25.7278301378947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,64372,65211.0209448056,65294.6438601239,63921.1274028595,62145.0532154267,58973.821047756,57740.829992544,54672.2520283151,53730.300506814,55926.0852569788,56294.4714868133,54826.2669961498,50764.4288681193,49454.5729281915,44482.9534417626,41562.3895116597,39634.5015811375,35920.9887593973,34996.4915676658,32966.685631355,21969.9314192542,14687.268013066,10240.6317494921,7026.96188204598,3625.33927225754,1454.07601549227,76.6991004854977,0,0,0,0
10,0,64372,60741.280079762,57826.6435107773,56365.1385234534,56870.4909228625,55546.0225668395,54153.2180403358,51547.8666050515,49275.1843315962,47349.970507308,43446.8232120446,42516.8562511882,38883.1051134446,37006.2477823913,34935.1375347402,33580.2408914865,31599.3159388102,29859.8696957162,28499.9995557373,26199.7363839171,24363.2928004948,22516.6320627967,16494.9968262841,9885.09870603604,6398.70634093522,3172.78876185524,991.092294149708,5.17391672042754,0,0,0
