ID,cluster,rec.unit,int.hib,yr.hib,yr0309.hib,int.hib.se,yr.hib.se,yr0309.hib.se,int.cl,yr.cl,yr0309.cl,int.cl.se,yr.cl.se,yr0309.cl.se,int.ru,yr.ru,yr0309.ru,int.ru.se,yr.ru.se,yr0309.ru.se,int.sp,yr.sp,yr0309.sp,int.sp.se,yr.sp.se,yr0309.sp.se
999,99,99,6.90775,0,0,0,0.0198182,0,6.90775,0,0,0,0.03922071,0,6.90775,0,0,0,0.05826891,0,8.951481888,0.014312537,-0.100310146,0.383584245,0.021642232,0.045365657
998,99,99,6.90775,0,0,0,0.0198182,0,6.90775,0,0,0,0.03922071,0,6.90775,0,0,0,0.05826891,0,8.951481888,0.014312537,-0.100310146,0.383584245,0.021642232,0.045365657
1,1,1,-0.348599526,0.22598561,-0.121953291,0.612959048,0.050470566,0.253514802,10.44264818,-0.021172039,0.043068296,0.208068316,0.014049787,0.045178878,9.578053037,0.012676812,-0.062088343,0.151449609,0.010631859,0.035536105,8.951481888,0.014312537,-0.100310146,0.383584245,0.021642232,0.045365657
2,1,1,-0.348599526,0.22598561,-0.121953291,0.612959048,0.050470566,0.253514802,10.44264818,-0.021172039,0.043068296,0.208068316,0.014049787,0.045178878,9.578053037,0.012676812,-0.062088343,0.151449609,0.010631859,0.035536105,8.951481888,0.014312537,-0.100310146,0.383584245,0.021642232,0.045365657
3,2,2,5.020842667,0.040371291,-0.194748552,0.710177485,0.048718429,0.132550914,9.814790261,0.02191008,-0.090665139,0.129158094,0.010270119,0.038260571,9.578053037,0.012676812,-0.062088343,0.151449609,0.010631859,0.035536105,8.951481888,0.014312537,-0.100310146,0.383584245,0.021642232,0.045365657
4,2,2,5.020842667,0.040371291,-0.194748552,0.710177485,0.048718429,0.132550914,9.814790261,0.02191008,-0.090665139,0.129158094,0.010270119,0.038260571,9.578053037,0.012676812,-0.062088343,0.151449609,0.010631859,0.035536105,8.951481888,0.014312537,-0.100310146,0.383584245,0.021642232,0.045365657
5,3,2,1.726535053,0.429525542,-0.367234689,3.907132902,0.209031205,0.275451679,1.67565025,0.421208069,-0.354764203,3.64596324,0.195117461,0.257062806,8.77975766,-0.054120615,-0.122503241,0.690389458,0.042799052,0.11202,8.951481888,0.014312537,-0.100310146,0.383584245,0.021642232,0.045365657
6,3,2,1.726535053,0.429525542,-0.367234689,3.907132902,0.209031205,0.275451679,1.67565025,0.421208069,-0.354764203,3.64596324,0.195117461,0.257062806,8.77975766,-0.054120615,-0.122503241,0.690389458,0.042799052,0.11202,8.951481888,0.014312537,-0.100310146,0.383584245,0.021642232,0.045365657
7,4,3,8.343224333,0.112967541,-0.081974498,0.156453814,0.012573573,0.047285908,9.814790261,0.02191008,-0.090665139,0.129158094,0.010270119,0.038260571,9.578053037,0.012676812,-0.062088343,0.151449609,0.010631859,0.035536105,8.951481888,0.014312537,-0.100310146,0.383584245,0.021642232,0.045365657
