,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr20plus
survival.probability.lower,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.836,0.836,0.836,0.836,0.836,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1
survival.probability.upper,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.92,0.92,0.92,0.92,0.92,1,1,1,1,1,1,1,1,1
ab.subtraction,0.14,0.14,0.14,0.04,0.04,0.04,0.04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
jb.subtraction,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
